Length,Ratings,Review,Relevant
lennine,ratingfour,"just wish you could earn fish bucks faster lol
",info
lennine,ratingfive,"i did not receive the two frogs for breeding.
",info
lenten,ratingfive,"please give me my  frog so i can breed them.
",info
lentwentythree,ratingfive,"great only thing that sucks is fish buck free offers. when ya try putting in numbers it kicks you out of the offers.
",info
lenfive,ratingfive,"easier way to get bucks
",info
lenseven,ratingfive,"force closes alot but still love it.....
",info
lentwentyeight,ratingfour,"great time waster but to many fish for fish bucks i mean i have no money for fish bucks there needs to be less fish for fish bucks.
",info
lensixteen,ratingthree,"pretty easy to use and hamless unless you get greedy to have mmore coins or money.
",info
lennine,ratingfour,"good game but need ways to earn more fishbucks
",info
lenthirtyfour,ratingtwo,"i do like this game but i want to be able to earn fish bucks.because all the fish i like are are fish bucks for example phrina is 20 fish bucks ani only have 2.
",info
lentwelve,ratingfour,"love this wish there want so many things to buy with bucks.
",info
lenthirteen,ratingfour,"love this game wish there was better ways to earn fish bucks though
",info
lenthirteen,ratingfive,"great game but would be better if didn't force close so much
",info
lenthirtyeight,ratingfive,"the game is great the only problem is that my memory on my phone fills up to fast and the weather makes it lage a little but been a loyal fan and player for a year or so.
",info
lenfive,ratingtwo,"drains battery on galaxy s2 epic 4g.
",info
lenthirteen,ratingtwo,"sold fish bred during breeding even but game cheated me out of 6k+ coins.
",info
lenseven,ratingfour,"wish you could earn/find more fishbucks.....
",info
lenthirty,ratingtwo,"but not anymore can't breed the fish that i want too buy fish to breed and won't let me do it what is the point of this game...
",info
lennine,ratingfive,"great but cost too much fish bucks to play
",info
lenten,ratingfour,"cons - sometimes gliches -waaaaay too hard to get fish bucks
",info
lennineteen,ratingfive,"love the game feel that there needs to be more breedable fish and more ways to earn fish bucks
",info
lensix,ratingthree,"would like to see more scale.
",info
lentwentytwo,ratingfive,"please fix it keeps sayin unable to conecte when i go to by fish but its a 5 star i love this game
",info
lenten,ratingthree,"good game but it just wants you to spend money :/
",info
leneighteen,ratingfour,"its cute but too many things cost a lot of fish bucks and its hard to get them....
",info
lenfour,ratingfour,"bucks no so fun.
",info
lenthirteen,ratingfour,"game is ok and the timing is not fun either but fool fishes
",info
lennine,ratingone,"every time i try to play it force closes.
",info
lenseven,ratingthree,"have lost fish bucks for no reason...
",info
lentwelve,ratingthree,"wish there were a way to trade or get fish from friends!
",info
leneight,ratingfive,"tack to long to load but good game
",info
lenfour,ratingfive,"fish bucks too expensive
",info
lentwelve,ratingfour,"its fun, but fishbucks and coins are way too hard to get.
",info
lentwelve,ratingfour,"you also should be able to do more things with your fish.
",info
lenthirtytwo,ratingfour,"bee playing this game since two years ago wheni first started with my iphone ; tthe only complain is i cant carry forward all my points and levels after i switched to note 2!
",info
lennine,ratingfive,"since last update i do not have some fish.
",info
lentwentyeight,ratingfive,"getting free fish bucks is getting harder & harder & has not been updated in a mo. customer service is great and this fish game is way better then others.
",info
lentwenty,ratingfive,"there is another glitch w/ feeding friends  takes up alot of space i have to uninstall & re install & restore alot!
",info
lenfive,ratingfour,"definitely need more coin fish...
",info
lentwelve,ratingfour,"is there anyway to get your game back if you switch phones??
",info
leneight,ratingthree,"too much stuff is bought with fish bucks.
",info
lenfive,ratingthree,"also it freezes a lot
",info
lenten,ratingfive,"wish you could get more coins, bucks, and spins faster.
",info
lenseventeen,ratingthree,"a moderately entertaining game but still requiring real money for fake fishbucks to do much of anything.
",info
lenten,ratingfive,"i wish all the good fish wasn't so high
",info
lennine,ratingfive,"great but cost too much fish bucks to play
",info
lentwelve,ratingtwo,"the cost to play is too high and the software is buggy.
",info
leneight,ratingtwo,"cost of fish bucks is unreasonable as well.
",info
lentwenty,ratingfour,"fun game, i love the variety of fish and decorations but it's so easy for your fish to die!
",info
lenfifteen,ratingfour,"i enjoy playing tap fish except for how hard it is to get fish bucks.
",info
lenten,ratingfour,"just would like to get more bucks for doing things
",info
lenfortysix,ratingfour,"i like  it but they dont give enough money or coinsand if u dont login everyday your fish die, i have a job soi cant play games everyday so they should have babysitter fish to buy for like 20 coins who freeze tank for your vacation needs
",info
lentwelve,ratingfive,"but some of the items an fish cost to much real money.
",info
lenfive,ratingthree,"a little cluttered and slow..
",info
leneighteen,ratingfive,"only wish there was a way to retrieve deleted tanks and transfer tanks from one phone to another.
",info
lensix,ratingthree,"its a little slow starting out.
",info
lennine,ratingthree,"coins are super tight but the games pretty fun
",info
lenseven,ratingfive,"need more ways to get fish bucks!
",info
lentwentyfive,ratingfour,"great game, but i wish there was a way to earn more fish bucks especially since the tasks make you spend a ton at once.
",info
lenthirty,ratingthree,"update update fead up of the game stopping unexpectedly and only option is to force to close y can't there jst b a simple update makes the game work
",info
leneight,ratingthree,"i love it just want more bucks rewards
",info
lenthree,ratingfour,"slow but fun
",info
lenthirteen,ratingfive,"i used to have fishlive but it crashed on me all the time.
",info
lenfour,ratingfive,"why is tapfish disabled
",info
lenseven,ratingfour,"forse closes allot when using certain feat.
",info
lenfour,ratingone,"updates killed my fish.
",info
lensixteen,ratingfour,"deffenetly 4 stars only 4 because a little hard when ur not able to play for a while
",info
lenthirteen,ratingfive,"i'd like to see more purchases available for coins, rather than cash.
",info
lentwentyeight,ratingfour,"i liked the game,but i needed to update my phone and application did not open,sad,had to uninstall,there were no instructions how to trouble shoot.
",info
lenfive,ratingfive,"great game but too slow
",info
lennine,ratingfour,"only problem is getting fish bucks to buy everything
",info
lensix,ratingthree,"love the game but sometime freezes
",info
lenten,ratingfive,"why can't we exchange coins in for fish bucks?
",info
lenfifteen,ratingfour,"would have gotten 5 stars if i could of kept the game when i changed phones.
",info
lennine,ratingfive,"becomes addicting and sometimes it had to froce close
",info
lenthirteen,ratingfive,"this game is really fun i like it exept everything cost too much
",info
leneleven,ratingfive,"i just wish it would quit shutting dowm for no reason.
",info
lenfourteen,ratingfive,"if u guys can fix that and stop wantimg so many fishbucks for things
",info
leneleven,ratingfour,"very fun good way to pass time could fix lag though
",info
leneleven,ratingfour,"it keeps glitching, and most times it tries to force close.
",info
lenthirteen,ratingfive,"we both love it i just wish u could make more money faster
",info
leneight,ratingfour,"jus wish it was easier to earn bucks.
",info
lentwelve,ratingfive,"great spp wish there were more ways to ean fish bucks tho.
",info
lenseventeen,ratingfive,"and wish there were more themed fish and backgrounds for the hoildays other thrn that great app
",info
lentwentytwo,ratingthree,"game is ok but there should be a way to get fish bucks like so many coins = one fish buck or something
",info
lensix,ratingfour,"it loads and updates sooo slow!
",info
leneighteen,ratingone,"the frog event sucks cocks every time i pop a bubble all of them fail wat the fuk !
",info
lentwelve,ratingfive,"won't even let me download it but rated it any way:-)
",info
lentwentysix,ratingfive,"love this game only thing i'm mad about is i got a new phone and lost all my fish and could not get anything back :-(
",info
lenfifteen,ratingfive,"this game is actually really fun, i wish you could get fish bucks easier though.
",info
leneleven,ratingfour,"i can't give it 5 stars though because it freezes up.
",info
lentwenty,ratingfour,"some easier way of earing bucks would be better as there are challenges that you can't meet without them.
",info
lenten,ratingfive,"with the recent android update, tapfish has gotten soooo slow!
",info
lennine,ratingfive,"i wish there were more challanges at a time.
",info
lenten,ratingfive,"and not so many requiring fish bucks to buy things.
",info
lenten,ratingfive,"just doesn't make sense to pay for fake money!
",info
lentwentytwo,ratingtwo,"also, there are too few options for those of us who can't/won't spend tons of money on fish bucks.
",info
leneight,ratingtwo,"aren't you making enough money through ads?
",info
lenfourteen,ratingtwo,"do you really want to continue trying to bore us into buying fish bucks?
",info
lenfifteen,ratingfour,"im not a fan of how the majority of fish and ornaments require ""fish bucks""
",info
lentwelve,ratingfive,"it kills time but there needs to be a way to ""pause""
",info
lenthirtysix,ratingone,"i downloaded shipwrecked and its been 2 days since i downloaded it and no free fish bucks are appearing in my fish bucks spot that's 22 fish bucks you owe me give them in 2days or i uninstall
",info
lentwentyeight,ratingfour,"accidently uninstalled reinstalled and restarted my sis went on and added me and it came up with my old 1 and all the fish dead but otherwise its great
",info
leneight,ratingtwo,"game should save itself to my play account.
",info
leneight,ratingfive,"only wish you could change coins for bucks....
",info
lensixteen,ratingtwo,"i updated tapfish because my phone said i had to, and the game had totally changed..
",info
lenten,ratingtwo,"it made me continuously click a frog in a bubble..
",info
lennine,ratingtwo,"then froze up on me, so i deleted it.
",info
lenthirteen,ratingfour,"like the game, but i wish you could earn more fish bucks faster.
",info
lensixteen,ratingfive,"i love it and so does my daughter just want more easier ways for fish bucks.
",info
lenfifteen,ratingfour,"great game but hard to get fishbucks which u need to get stuff in game
",info
lenthirteen,ratingfour,"takes a lot of time to level up and speed ups cost bucks.
",info
lenfifteen,ratingfive,"i love playing this game i just wished i could gain levels much faster amiga...
",info
lentwelve,ratingfour,"love the game just take to long to generate cash and bucks
",info
lensix,ratingthree,"way too slow for my phone.
",info
leneighteen,ratingone,"the frog event sucks cocks every time i pop a bubble all of them fail wat the fuk !
",info
lenten,ratingfour,"only one thing to make it better, a sign in.
",info
lenfifteen,ratingfour,"so when you get a new phone you don't have to start from scratch.
",info
lensixteen,ratingone,"now ive lot all my prizes  that's again tap fish, you're getting deleted finally
",info
lentwelve,ratingthree,"it sucked when i went on vacation and lost all my fish!
",info
lenthree,ratingone,"ripped off 75 bucks...
",info
lenthirtyfour,ratingtwo,"so, you aknowledged the fact that the frog challenge had a glitch by changing up the way to purchase the eggs but you won't reimburse the fish bucks lost because of that glitch?
",info
lentwelve,ratingfive,"it takes a while to load at first but its worth it!
",info
lentwenty,ratingthree,"it's fun but there isn't much to do after you clean the tank, feed and love the fish.
",info
leneighteen,ratingthree,"the bucks are impossible to earn, not enough instructions and to much waiting around for breeding to happen.
",info
lensix,ratingfive,"pretty cool but everything is expensive
",info
lensixteen,ratingfive,"i love it and so does my daughter just want more easier ways for fish bucks.
",info
lenfiftytwo,ratingfive,"i just wanna say that i love tapfish i just have one suggestion can u guys plz come up with some kind of password so that when friends who dont know what their doing grab ur phone and start messing with stuff dont sell all ur fish and mess up ur tanks.
",info
lenfortynine,ratingthree,"i think there should be a way to level up faster because it takes forever trying to level up, and maybe there should also be a breedable catagory for lazy people (such as i) that way we dont have to spwnd a half hour trying to find breedable fish
",info
lentwentyfour,ratingfive,"really good game only bad thing is tht most of the tsks u have to have fish bucks apart from that it is good
",info
lenthree,ratingfive,"do more batfish
",info
lentwentyseven,ratingtwo,"can't breed new fish often cause i can't get more than 2 tanks to bread, then it takes on average 3 days to breed one fish lol.
",info
lenthirtyfour,ratingfour,"however i wish a lot of the fish did not cost as much fish bucks as they do. its hard 2 earn enough of them in order 2 complete the tasks & it's expensive 2 buy them.
",info
leneight,ratingfour,"plus it is hard to get fish bucks.
",info
lenfifteen,ratingfour,"love this game but i agree there should be a way to level up faster
",info
lentwelve,ratingtwo,"could be a good game but is very slow & demanding of time
",info
lenfifteen,ratingfive,"cute game but have to play it every day or fish will die of starvation
",info
lenfourteen,ratingthree,"just wish it didn't take as long as it does to breed fish.
",info
lentwentyfour,ratingfive,"i don't realy like the pictures and how it's so flat and boring, but i like the huge the selection of fish.
",info
lenthirtyfive,ratingfive,"the game is pretty fun jusr wish that the fish bucks were easier to get and everything was cheaper but overall p0retty fun i would recomend it also wish the fish didn't die so fast
",info
leneight,ratingfour,"fun game but super hard to earn fishbucks
",info
lensix,ratingfive,"enjoyable game,,,slow to start though.
",info
lenseven,ratingfour,"wish the tutorial was a little slower.
",info
lentwentyone,ratingfour,"just wish it was easier to get fish bucks w/o having to buy them or download so many other apps.
",info
lenthirteen,ratingfour,"love the game but not 5 stars because the fish die way to fast
",info
lenfourteen,ratingfour,"love this game but i wish you could get more fish bucks for free.
",info
leneighteen,ratingtwo,"boring and stupid because you need lots of money to buy things and they barely give u any
",info
lentwentyone,ratingthree,"it's fun just long and alot of things you need fish bucks for but you barely get them for free
",info
lenten,ratingtwo,"for 2 days and now it won't open any more
",info
lentwentyseven,ratingfive,"i wish i never updated my tap fish game i used to be able to buy puffer fish that would bring in the $$ but not any more.
",info
lenseventeen,ratingfive,"i just wish it was easier to earn fish bucks to get all of the crazy fishies!
",info
lennine,ratingfour,"only complaint it takes a few seconds to load.
",info
lenseventeen,ratingtwo,"i love to play, but you need to spend lots of money to get fish to breed.
",info
lensix,ratingfive,"needs more fish and new fish.
",info
lensix,ratingfive,"could go a bit faster though
",info
leneleven,ratingfive,"you can't do much without fish bucks and they cost $.
",info
lenten,ratingfour,"game shuts down alot but other than that its great.
",info
lenseven,ratingthree,"stupid game give my more fish bucks
",info
lenfive,ratingfour,"hard to obtain fish bucks.
",info
lennine,ratingthree,"great game, but needs more fish for higher levels.
",info
leneleven,ratingthree,"i'm level 54 and there is nothing for several more levels.
",info
lentwentytwo,ratingfive,"like alot, love fish, dont like 2 spend real money or have 2 download stuff u dont want just 2 get more bucks or coins.
",info
lenfour,ratingfive,"needs fake money 2 spend.
",info
lentwelve,ratingone,"takes to long to level up and most quests take $ to complete!
",info
lenthirteen,ratingone,"it doesn't give u hardly any coins for tending to ur fish!
",info
lennine,ratingthree,"however, it takes way too long to earn bucks.
",info
leneleven,ratingthree,"the challenges are fun at first but then it gets old.
",info
lenseven,ratingthree,"it constantly asks to buy more bucks.
",info
lenten,ratingthree,"there should be an option to exchange coins for bucks.
",info
lenseven,ratingfour,"4/5 hard go get fish bucks but fun
",info
leneighteen,ratingthree,"there should be an easier way to get bucks. how 'bout every 500 coins you get you get one?
",info
lenthirteen,ratingthree,"that way people can revive their fish without having to pay as often.
",info
lenforty,ratingfour,"i got a new phone and    now i cannot get back into the game that i have   spent so much money on i have been well over $1000.00 and it's a shame to lose everything that i just built up.
",info
leneleven,ratingtwo,"i paid money to remove ads and i still got them
",info
lentwelve,ratingfive,"but should have a way of buying fish bucks using your coins.
",info
lenseven,ratingfive,"wish the tutorial was a little slower.
",info
lentwelve,ratingfour,"very good game, some lagging but that might just be my phone.
",info
lenfive,ratingfive,"a little cluttered and slow.
",info
lenfifteen,ratingfive,"also alot of focus on fish bucks, which are hard to get without buying them.
",info
lenten,ratingfive,"i wish there was more way to earn fish bucks.
",info
lentwenty,ratingone,"this last update stole millions of coins from my tank not to mention all the bs with the frog event.
",info
lentwelve,ratingfive,"the only downfall is hard to get fish bucks without buying them.
",info
lentwelve,ratingfive,"maybe trading coins for bucks or awarding more bucks when leveling up.
",info
lentwentyone,ratingthree,"would rate higher but to obtain breeder fish and other things you need to pay2play and i just can't offord it.
",info
lennine,ratingthree,"dislike bubble tips and smiley faces on feed fish.
",info
lenfourteen,ratingfive,"it is very fun but make it a little more interactive with the fish
",info
lennineteen,ratingfour,"i wish they could put in a permanet mini game to get fish bucks,coins,fish or decorations ethre
",info
lentwentytwo,ratingthree,"its a cool game but its stupid you can progress if u don't have bucks wilhich u need credit card for
",info
lentwentyeight,ratingfour,"it'll glitch everytime i go to play store then exit it and click the game itself on the phone it just goes right back to play store
",info
lenthirtynine,ratingfive,"not giving all fishbucks when you download games also when foggy event was over did not receive breedable frog did not get my fishbucks when i download game also played the froggy event and did not get breedable froggy
",info
lenthirtyseven,ratingfour,"it does take an awfully long time to level up,  and it's unfortunate that so many basic things can only be bought with ""fish bucks"" which are very difficult to earn many of without paying money.
",info
lennine,ratingfour,"and many quests require you to buy these things.
",info
leneighteen,ratingfive,"i just wish you could advance up quicker yeah you can speed up your fish eggs to hatch.
",info
leneleven,ratingfour,"i can't give it 5 stars though because it freezes up.
",info
lentwentyone,ratingtwo,"it won't let me connect to the server. i report it every time but it is always the same thing.
",info
lennine,ratingthree,"won't let me participate in the easter event.
",info
leneleven,ratingthree,"every time i catch the fish, it says ""image not found""
",info
lentwentynine,ratingfive,"i love it (but why will they make the decoration's and every thing so much you can just get a fish with that money and fish buck's
",info
lentwentyeight,ratingfive,"i 'v played this app before it crashs alot but i'm giving it a second chance if it did not crash i would have this app forevef
",info
lenseven,ratingfour,"its fun except every thing needs fishbucks
",info
lentwelve,ratingone,"love this game but very disappointed with the adds that pop up!
",info
lensix,ratingone,"you should monitor what's advertised.
",info
lenfour,ratingfour,"hate waiting but great
",info
lenfifteen,ratingfour,"takes a while to load but it already filled the last two hours of fun
",info
lentwentyeight,ratingfour,"it would be better if the game will allow me and my phone not to be on the internet all the time and still be this fun & cool!
",info
lentwentythree,ratingfour,"good but the good fish cost fish bucks which you have to buy with real money and the fish are way to expensive.
",info
lennine,ratingfour,"it also take way to long to level up.
",info
lenseven,ratingtwo,"can't breed the fish i want.
",info
lenfive,ratingtwo,"fish bucks are too much!
",info
lenfourteen,ratingfive,"thank you tap fish makers but please have more games to earn fish bucks !
",info
lentwelve,ratingfour,"wish it didn't take so long to breed special event fish.
",info
lentwentynine,ratingfour,"after the update the bubble icon is taking a lot of time this game is entertaining but it must be fast so to be fast please remove bubble icon
",info
lenfourteen,ratingfour,"i also love the breeding just wish it didnt take  do long to breed!
",info
lentwentysix,ratingfour,"the only thing i don't like is that if you miss the deadline on an event cuz of work or anything there is no extension.
",info
lenseven,ratingfour,"changed phones and lost everything which stinks.
",info
lenthirteen,ratingfive,"i'd like to see more purchases available for coins, rather than cash.
",info
lennine,ratingfive,"only wish fish bucks were easier to come by
",info
lenthirteen,ratingfive,"there needs to be a way to transfer my game to another phone.
",info
lentwenty,ratingfive,"spenf a lot if time and money on this then got a new phone and am having to start over!
",info
lenforty,ratingone,"ive switched phones, downloaded tap fish and i have to start all over again i believe i had pleanty more fish than the 2 i have now and my fish bucks are gone how do i get my fish tanks back.?
",info
leneight,ratingfour,"or be able to buy more with coins.
",info
lentwentyfour,ratingfour,"all the fish's eggs should be displayed under one head, instead of various categories and also the selling star rating should be displayed
",info
leneight,ratingfour,"takes too long to move up levels though
",info
lenseventeen,ratingfive,"great app try to purchase fish bucks though other apps but, still waiting the only bad thing
",info
lentwentythree,ratingfour,"but i do think a 12 hr breeding time for a total of 90 fish to breed is a bit long for shorter event time.
",info
lenfifteen,ratingfour,"im in love with this game, but fish bucks need to go i hate that.
",info
lenseven,ratingfour,"live wallpaper needs to be fixed also : (
",info
lentwentyseven,ratingthree,"the new event is not giving me the prize when i bred my fish and 11 hours thats a little to long to be able to get everything.
",info
lennineteen,ratingfour,"cool but one thing to say is that i wish u could earn fish bucks not buy fish bucks
",info
lenfifteen,ratingthree,"changed from 5 stars because the new valentines event takes 12hrs to breed and 6 days to complete.
",info
lenfifteen,ratingtwo,"this game is so  fun except tht the baby fish take for ever to grow
",info
lentwentysix,ratingthree,"i like the game save ur bucks their hard to come by seem like they want u 2 use cash to advance other than that good game
",info
lentwenty,ratingfive,"i like the events, but sometimes it kind of stinks when you don't have the fish bucks for them.
",info
leneleven,ratingfive,"and you really don't have good deals for fish bucks.
",info
lentwenty,ratingfour,"love this game, but i wish there was an easier way to transfer game from one phone to the next.
",info
lenfourteen,ratingone,"never succewd open even the internet connection available and in a hi speed wifi.
",info
lenten,ratingtwo,"this game takes up the most space on my phone.
",info
lenfourteen,ratingfour,"but the fonts in the menu are so small! especially inside the events icon.
",info
lenfive,ratingfour,"the graphics and fonts overlap!
",info
lenfourteen,ratingfour,"but wish the fish weren't so expensive or cost so many fish bucks
",info
lenninetyfive,ratingfive,"i love playing tapfish and wanna thank u for retrieving the coins i couldn't get but i really wish i wouldn't of lost all my tanks and all the work i had in this game for the past yr i lost a lot of tanks and fish that took days to earn and the money spent while i played .but i had to get a replacement phone ,same phone just wish i wouldst of lost all that i worked hard for should be a way to not loose games that would b awesome !
",info
lennine,ratingfive,"i want alot of fish bucks for free please
",info
leneight,ratingfour,"game not bad, but you start off slow.
",info
leneleven,ratingfour,"wish there was an easier way to get coins and cash.
",info
lentwenty,ratingthree,"joys of fun only downfalls is it takes forever to level up and fish cost way to much fish bucks.
",info
lentwelve,ratingthree,"not easy trying to earn fish bucks without actually spending real money.
",info
leneleven,ratingfive,"could use some form of sorting option but sure is addicting
",info
lennineteen,ratingfour,"it is very show moving store to i don't want to spend real money to get fish bucks.
",info
leneighteen,ratingfour,"it takes a long time to accumulate bucks to buy things or to speed up the breeding process.
",info
lenten,ratingfour,"i just wished that i could earn fish bucks faster
",info
lenfive,ratingfour,"need more fish bucks free!
",info
lentwenty,ratingthree,"a cool app just takes to long and  not  lot to do n between everything is a litle pricey too!
",info
lenfive,ratingtwo,"good game but constantly crashes.!
",info
leneight,ratingfive,"cool just wish you got fish bucks often
",info
lenseven,ratingtwo,"i still can't breed mystery fish.
",info
lenthirtysix,ratingfive,"ilove this game and so does my 3 yr old grandson he always asks gamma can i play fish with you only problem is when i changed phones i lost it all but it is fun rebuilding
",info
lenten,ratingfive,"some of the valentine species are a bit odd though!
",info
lenseven,ratingfive,"should get more free fish bucks though
",info
lenfifteen,ratingfive,"very addicting and time comsuming but it could use more ways to earn fish bucks.
",info
lentwentytwo,ratingfive,"my only complaints are that we should be able to still get our prizes from events even after the event is over.
",info
lentwentytwo,ratingfive,"the other thing is that you should have like bubbles or something pop up so we can earn xp, fb or coins.
",info
lentwentytwo,ratingtwo,"the valentine game is way too long,12 hours to breed, so no way to get half way through ribbing three breeding tanks.
",info
lenfour,ratingtwo,"note the disappearing bucks.
",info
leneight,ratingfive,"the fish bucks are too hard to get.
",info
leneighteen,ratingfour,"its fun with all the cute fish but i wish there were more events because they are fun
",info
