Length,Ratings,Review,Relevant
lennineteen,ratingtwo,"Keeps rebooting vzw gnex and numerous bug reports and posts left unanswered or even unacknowledged using pay version too...
",info
lentwentyeight,ratingfour,"Just wish there were more themes to choose from and that of your backspace from an auto completed word that it would defer to what you originally typed.
",info
lennineteen,ratingfour,"As stated before SwiftKey does not load after a reboot. It has to be disabled an re enable again.
",info
lenfourteen,ratingfour,"Great keyboard and prediction but needs SWIPE function for portrait mode and better customization
",info
lentwentythree,ratingthree,"Update: Using on the LG Optimus G and the cursor KEEPS  jumping to the top of the field in the middle of sentences.
",info
lensix,ratingfour,"But can't personalized with fb..
",info
lentwentytwo,ratingfour,"Uninstalled until I can save it to the SD card, everything is great except for the amount of space it takes up.
",info
lenfourteen,ratingfour,"This app is very good, but it can run a little laggy on my GS3
",info
lenfourteen,ratingfour,"Give me a red version of the ""holo"" theme and you'll get 5 stars.
",info
lenthirtyone,ratingfive,"The only thing I do hate is when I enter a full stop then  space it automatically In puts (I) so my sentences start with I when I'm typing fast.
",info
lennineteen,ratingone,"Used to be the best keyboard ever since jellybean update now on my GS3 it will not hold as default :'-(
",info
lenseventeen,ratingfive,"I would love to more themes, the current themes are great but I love customising my phone.
",info
lenfour,ratingfour,"Wheres the clipboard button?
",info
lensix,ratingone,"This auto correct is illogical sometimes.
",info
lennine,ratingone,"When I type ""just""  I don't mean ""justified"".
",info
lenthirteen,ratingone,"It will also auto capitalize words that don't need to be capitalized.
",info
lenfifteen,ratingthree,"Was excellent but pasting has recently broken on my Samsung galaxy s3 which is very frustrating!!
",info
lenthirtythree,ratingtwo,"I don't know what sort of processor is expected for running a keyboard but swift key can't keep up with my typing for the most part on a Samsung galaxy tablet 10.1
",info
lenthirtyone,ratingfour,"Only suggestions I have would be a tab key for use with Web browsers and such and a personal dictionary would be nice to help speed the keyboards learning process up
",info
lensix,ratingfive,"Please add a few themes frequently.
",info
leneighteen,ratingone,"I love this keyboard,  but I notice a significant decrease in my battery life when I use it.
",info
lenten,ratingfive,"It would be perfect if there was a delete key!
",info
lenthirteen,ratingtwo,"I would give it 5 stars if predictive text was supported in all apps.
",info
leneight,ratingtwo,"As it stands, too many apps remain unsupported.
",info
lenseven,ratingfive,"Love it but needs emoji support now
",info
lentwentyfive,ratingtwo,"Pretty good,  I get sick of checking everything to make sure it's predicting what I actually wanted, it seems to lag a lot too
",info
lensix,ratingfive,"Just wish it had more themes.
",info
lentwelve,ratingfive,"One like Holo but red in place of the blue would rock.
",info
lennine,ratingfive,"Only thing is it couldn't input Chinese language.
",info
lenthirtythree,ratingfive,"I love this app best $3 I've ever spent drastically increases texting speed if you have it set up right could use some more themes like a black background with neon green letters
",info
lentwentytwo,ratingfive,"The one and only problem I have is this program needs to do a better with choosing which punctuation sentences should receive.
",info
lentwentytwo,ratingfive,"I would like it if there were emoticon add ons for this keyboard like there are some of the other ones though...
",info
lentwentysix,ratingthree,"This app is okay except that the keys are loud when I type, so if I'm working or hunting I have to change the settings.
",info
lentwentytwo,ratingthree,"And if I'm just not finding how to change the setting I apologize but I've looked everywhere on the phone
",info
lenthree,ratingfour,"Needs more themes!
",info
lentwentyfour,ratingfour,"Love the "".com""  button but I wish it were in a different place. Maybe put it on the left side of the space bar.
",info
lenfour,ratingtwo,"You need more themes..
",info
lenthirteen,ratingtwo,"It's a great keyboard,  I just get board with the limited options
",info
leneight,ratingone,"It's useless application with Jelly Bean keyboard.
",info
lentwentyfive,ratingfour,"In the Dvorak layout, the lowercase 'M' & 'W' keys are supposed to display '(' & ')' on long press. The 'W' usually displays a '0' instead, but occasionally readjusts.
",info
lenthirtyfour,ratingone,"This would have been a 4 star but the inability to hide the ""com"" button while in a browser renders it nearly useless. Hit it all the time when trying to hit the space bar.
",info
lentwentyeight,ratingfive,"I'll lower my rating to 4 stars since the Jelly Bean bug resetting the keyboard to stock at each reboot has been around for long without being fixed.
",info
lenfifteen,ratingfour,"I the only reason I give it a 4 is because there is no swipe texting.
",info
lentwelve,ratingfour,"Would you be able to make an update with Vietnamese language though?
",info
lenten,ratingfive,"Just hope they continue to make it more battery efficient...
",info
lenfifteen,ratingthree,"1 - The keyboard reverts to the original Android Keyboard every time the USB storage becomes disconnected.
",info
lentwentysix,ratingthree,"Every time I hook up to the computer or shut down the phone and restart, I have to re-enable it via the Android OS Settings.
",info
lentwentythree,ratingthree,"Great in most circumstances, but when sending odometer readings via text for tracking purposes, there's no reason for it to track it.
",info
lennineteen,ratingthree,"Numbers, for the most part, could probably be ignored or at least give us the option to ignore them.
",info
lenfourteen,ratingthree,"I don't need it suggesting an odometer reading I'll never see again.
",info
lentwentyone,ratingthree,"It would also be nice to be able to edit the remembered words and add or remove words, especially in multiples.
",info
leneight,ratingfour,"But could you guys add a swiping option?
",info
lentwentyone,ratingthree,"If I take the time to manually capitalize letters and add apostrophes, etc, then swiftkey shouldn't try to change it.
",info
lensix,ratingone,"Needs improvement in Arabic language support
",info
lentwentyfive,ratingfour,"My only wish is the ability to add words to dictionary & more keyboard options with symbols like hearts that come standard on most Samsung galaxy s3
",info
lennineteen,ratingfive,"The only weird thing I encountered was on my RAZR while it's charging the keyboard acts very weird.
",info
lentwelve,ratingfive,"Amazing app, although I wish there were more themes to choose from.
",info
lenseventeen,ratingfour,"It doesn't allow you to use the prediction features on text fields that already have it.
",info
lentwenty,ratingfour,"An example is when you type something on Google search app, you're abandoned to the slow typing process again.
",info
lensixteen,ratingfour,"The same happens in some contact names fields such as Gmail, GOSMS Pro, Any.do. Etc.
",info
lenfortyfour,ratingtwo,"I was not happy with the keyboard after coming from iPhone to Android until i tried Swiftkey, HOWEVER, i have  found quite a few apps that refuse to show the predictive text...like the built in browser on my Galaxy S3 and way more Update;
",info
lentwentyone,ratingtwo,"giving up until they fix predictive text and make keyboard thy doesn't have all th keys basically touching each other.
",info
lenfourteen,ratingone,"whenever i wanna use the sign () it always write wrong and impossible to use.
",info
lenthirtyfive,ratingone,"i have tried to ask if possible to add ""numbers"" on top of the keyboard like on Samsung original keyboard and they sent me to write on their blog... but no one answer, nobody care...
",info
lentwenty,ratingfour,"I'm using the trial keyboard, but can't miss the sale off :), buy it and waiting for Vietnamese language...
",info
lentwentyone,ratingfour,"I would really like to see more customization like more keyboard clolors and maybe some emoj that's different from iPhone.
",info
lenten,ratingtwo,"This keyboard is good but it really needs more theme.
",info
leneleven,ratingtwo,"Just at least one of all the major colors. ESPECIALLY RED!
",info
lentwelve,ratingfour,"Please made available for moving app to rom for faster keyboard entries
",info
lentwentynine,ratingone,"It always adds spaces after full stops, and adds unwanted words after commas, I wish I hadn't paid for this before I knew there was a free version
",info
lenthirteen,ratingtwo,"Have turned off as does not support pen entered text on Samsung note 2.
",info
lenten,ratingtwo,"Have turned off as note ii does not work properly.
",info
lentwentysix,ratingtwo,"If you are not going to fix it then make it assignable to applications so it can be ignored for apps where it doesn't work.
",info
lenfive,ratingthree,"I want more color fonts
",info
lensix,ratingthree,"Why is there no Tab key?
",info
lentwentyeight,ratingthree,"But when I have to put numbers into a password or messaging someone and using numbers the numbers come out jumbled, please look into this, sent from my gs3
",info
lentwentytwo,ratingtwo,"I use it on my Samsung Galaxy S3 on Android 4.1.1 Jelly Bean. The only complaint I do have are a couple of bugs.
",info
lentwentyeight,ratingtwo,"On occasion the cursor will stop moving beyond the last word, so it always appears as if it's in the middle of a world no matter what.
",info
lenthirteen,ratingtwo,"I am also unable to use predictive text when sharing anything to Facebook.
",info
lenten,ratingtwo,"It renders it useless anytime I see something Facebook worthy.
",info
lenfour,ratingone,"Fatal support for Polish.
",info
lenthirteen,ratingfour,"I really dislike how it fails to show predictions during Web browser use.
",info
lensixteen,ratingfive,"There are so many things you can tweak as well such as prediction invoking and theme.
",info
lenthirty,ratingfour,"Totally annoying when I'm used to typing as best I can and picking predictions from the list. At least please give us the option to turn it on / off.
",info
lentwentythree,ratingfour,"The only issue with it is that about 35% of the time the prediction bar does not show up/auto correct does not work.
",info
lennine,ratingtwo,"Great app but becomes sluggish every now and then.
",info
leneighteen,ratingfour,"However, give me the option to disable the auto space after punctuation and ill give it five stars.
",info
lentwentyseven,ratingtwo,"It's not a bad keyboard replacement but it insists on putting a space after periods, making it a real pain to type URLs into text messages.
",info
lenthirteen,ratingfour,"The only thing I really dislike is the space it adds after punctuation.
",info
lenthirtyfour,ratingfour,"I'm used to typing correctly in the first place so I add the space myself and SwiftKey adds one as well as you can see in this review with all the double spaces.
",info
lenten,ratingfour,"I want to turn predictions completely OFF, but can't?
",info
lensix,ratingfour,"5 stars if could turn off predictions.
",info
lentwentytwo,ratingfive,"I'd love to see the option to enable a dedicated number row though, for those of us with those huge phones.
",info
lensix,ratingfour,"Just add emojis and more themes.
",info
leneighteen,ratingfour,"Would give 5 stars if a personal dictionary is added as well as the option to learn from whatsapp.
",info
leneighteen,ratingfive,"Would like S Pen support for Galaxy Note 2 so I don't have to swap when writing documents.
",info
lenthirteen,ratingthree,"But the predictions bar doesn't appear for for the Samsung at all..
",info
lenseventeen,ratingthree,"And when I'm typing rapidly and trying to press the space button.. It hits the. com
",info
lennineteen,ratingtwo,"Whenever I try to enter a search term this app seems to stop working all together... Why is that?
",info
lenseven,ratingfive,"Wish for more keyboard themes to come.
",info
lentwentysix,ratingfive,"Love this keyboard and just got the update to JB on my EVOLTE and was wondering if you guys were implementing Emoji support for the keyboard?
",info
lentwo,ratingthree,"Emoji support.
",info
lenseven,ratingthree,"Why doesn't any keyboard have emoticons?
",info
lentwentysix,ratingfour,"This keyboard is amazing but the only problem I have with it is that when I use Google drive it slows down and lags SO much.
",info
lenseven,ratingfive,"I just wish they would add swipe
",info
lennineteen,ratingfive,"Would like to see a couple more themes, but I have no complaints as the Holo theme is gorgeous.
",info
lentwentythree,ratingfour,"I think it provides a great writing experience, but it slows down my overall smartphone readiness and needs an huge amount of ram..
",info
lenfive,ratingfour,"A ridiculous amount of RAM!
",info
lenfourteen,ratingthree,"Please provide swipe support like the latest keyboard update provided by Google for nexus.
",info
lenthirteen,ratingthree,"When ever I enter my email address the auto space messes shot up.
",info
leneighteen,ratingthree,"Lack of hand writing support for the Note 2 is a shame, will inable again when this is supported.
",info
lennine,ratingthree,"Loved Swiftkey3 on my evo hate it on the note
",info
lennine,ratingtwo,"A lot of bugs in connection with hardware keyboards!
",info
lennine,ratingtwo,"The app also has trouble downloading the language packs ...
",info
lentwentyseven,ratingone,"Now, occasionally the text predictions won't come up AT ALL and it seems like words are being put in that I NEVER was attempting to write.
",info
lentwentyfive,ratingone,"Also, I am not too fond of the fact that when I do spell a word wrong, it doesn't automatically insert the correct word.
",info
leneleven,ratingtwo,"Love the word suggestions but keyboard locks up constantly on my S3
",info
lennine,ratingfive,"But can we have more themes for the keyboard =)
",info
lentwentythree,ratingfive,"Edit: The keyboard stop predicting when I am in Any.do, Facebook web browser and several other applications that I couldn't remember.
",info
lenthirtysix,ratingthree,"Though India is a big client of all mobile handsets and apps, everybody is neglecting Indian customers and their needs,I am hopefully waiting for Hindi,Marathi and other Indian languages upgrade packs from swiftkey ASAP.
",info
lenforty,ratingthree,"However,  every time I close all apps and ram memory and I go on any sort of message board,  texting or any type of typing it doesn't automatically pop up with SwiftKey and it shows the regular crappy keyboard.
",info
lentwenty,ratingthree,"Long story short I have to go change the options to have SwiftKey on every time I want to text.
",info
lentwentyone,ratingfive,"Suggestion for the developer: make that when the hardware is changed you don't loose all that the app has learned.
",info
lensixteen,ratingfive,"I wish there were more personalization options with colors, to match the theme For your phone.
",info
lensix,ratingfour,"Won't start automatically on GS3 however.
",info
leneight,ratingtwo,"But it is not compatible with 4.1.1  So frustrated.
",info
leneighteen,ratingone,"Split keyboard does NOT work on the Note in spite of thousands of users flagging it inside reviews.
",info
lennine,ratingthree,"I hope that swiftKeys will implement chinese typing too.
",info
lentwelve,ratingthree,"The keyboard gets laggy sometimes and makes apps lag on jelly bean.
",info
leneleven,ratingthree,"Most notably Google now.... it's very slow whilst using swiftkey.
",info
leneight,ratingfive,"I wish there will be more themes added
",info
lenthree,ratingfive,"Please integrate swype.
",info
lentwentynine,ratingfive,"Anyway I couldn't thank SwiftKey any better for such an amazing keyboard, just wish that they will come out with better features and personalization along with new themes!
",info
lenfive,ratingone,"Prediction does not work anymore.
",info
leneight,ratingfive,"I only wish they had more color scheme.
",info
lenfourteen,ratingone,"With a recent update to Jellybean, SwiftKey no longer automatically uses predictions when texting.
",info
lentwentytwo,ratingone,"I have to back out of every message and go back in before it will start fixing typos or using predictive text.
",info
lenfourteen,ratingthree,"I was very disappointed that when installing the paid version it did NOT import.
",info
lentwentyfour,ratingthree,"The settings from the trial version and now i am left having to battle the same initial problems when i first inatalled the trial.
",info
lenfifteen,ratingthree,"Very disappointing that such an intuitive app is so non-intuitive in the upgrade process
",info
lentwenty,ratingone,"Since I updated my S3 to Kelly Bean sometimes SwiftKey is not even activating when I go to text or type.
",info
lenthirtyfour,ratingone,"I have to exit whatever I'm doing or send a text or 2 before it will start working, but as I said it's very inconsistent, was never an issue while using with ICS.
",info
lenfiftyone,ratingfour,"I love this keyboard hands down the best one on the market only issue is for some reason when I I'm typing fast the keyboard always seems to static like a tv with no service I thought it was my phone but now I have the note 2 n same thing..
",info
lentwentyseven,ratingfour,"I just hate how when I click the 123 icon on the keyboard I hate how the layout looks,  im use to the regular S3 keyboard 123456789 on the top
",info
leneleven,ratingfive,"5 stars either way but an Emoji add on would be awesome.
",info
lentwelve,ratingthree,"I don't like the way that it handles using different languages.
",info
leneighteen,ratingthree,"I wish there was a way to toggle between languages instead of having them integrated into one keyboard.
",info
lenthirteen,ratingthree,"Would have given this 5 stars if it worked well with king soft office.
",info
lensix,ratingfive,"Drawback, could do with more skins.
",info
lenthirtyfour,ratingfour,"Great keyboard only issue I have is when my phone wakes into a text it doesn't use prediction so I have to back out and go back in for the prediction to work
",info
lennine,ratingfour,"Was working excellently on 4.0.3, but in 4.0.4, has some defects...
",info
lenfifteen,ratingfour,"Feeling a small hick when keyboard comes on screen and sometimes it does not work...
",info
leneighteen,ratingthree,"Can't go without this keyboard anymore, though I'd still love to be able to disable gestures
",info
lenfive,ratingfive,"It does occasionally stop typing.
",info
lensix,ratingthree,"Kinda laggy when opening and closing..
",info
lenthirteen,ratingfour,"Just recently app repeatedly force closes until it is disabled in input settings.
",info
leneleven,ratingfive,"The Arabic implementation is very good but needs some fine tuning
",info
lensix,ratingtwo,"Can't remember my email address.
",info
lensix,ratingtwo,"Has a problem remembering simple words.
",info
lenthirteen,ratingthree,"Please fix the cause for the keyboard not sticking as the default keyboard.
",info
lentwentythree,ratingthree,"I used this a long time ago, and picked it up for a buck during the sale, but it needs more customization options.
",info
lenseven,ratingthree,"Namely, the smiley key needs custom smileys.
",info
lentwelve,ratingone,"Pls update thai language i have been waiting for the long time
",info
lentwentytwo,ratingtwo,"Sometimes word prediction doesn't show up. Have to exit out of keyboard then get back on again for it to appear.
",info
lenthirteen,ratingfive,"really loving it ;)  wish it wouldnt eat so much ram tho 28mb of ram?!
",info
lentwentyfour,ratingfour,"I would like some more customization options, such as disabling the keypress letter highlight, custom skins (even if just hex colors from a file).
",info
lenthirteen,ratingfive,"I have no complaints, just a request that you keep adding new themes!
",info
lennine,ratingfive,"English, of course, but with Korea prediction and everything?
",info
lensixteen,ratingfour,"The beta edition for Thai has been expired. Could you add it to any Thai peoples?
",info
lenthirtytwo,ratingfive,"My only flaw is since the jelly bean update if I have the keyboard open in messages and my screen locks; once the screen comes back the prediction function doesn't work
",info
lenfifteen,ratingfour,"It works great for everything but not so good when add ing non common names.
",info
leneighteen,ratingone,"something is happening and it is causing me to have to download the language over and over again.
",info
leneight,ratingthree,"But I would love a cleaner looking interface.
",info
lenseventeen,ratingthree,"Would love to have a option to hide all the extra long press keys minus the numbers.
",info
lenfifteen,ratingtwo,"Frankly some of the predictions are ridiculous you are better off with the normal keyboard.
",info
lenfive,ratingthree,"Not compatible with jelly bean.
",info
lenfive,ratingthree,"Resets after boot or restart.
",info
lenseven,ratingthree,"Will not set itself as default keyboard.
",info
lenseventeen,ratingone,"I recommended it to all of my friends, but ever since ics this app has been HORRIBLE.
",info
lenfive,ratingone,"The keyboard is horribly laggy.
",info
lentwelve,ratingone,"I've downloaded it more than 3 times and it keeps saying error
",info
lentwentyone,ratingfive,"Only issue found till date is that it crashes often with chrome, but that is not a deal breaker for me.
",info
lenfive,ratingfour,"Only complaint: no swype mode.
",info
leneight,ratingfive,"Would be better if echo stopped cheating though
",info
lenthirteen,ratingfive,"Would be cool if we could have some emojis added on to it
",info
lennine,ratingone,"Due to error 941 this is bs. Cannot refund either
",info
lenfive,ratingtwo,"Wouldn't install on my gs3
",info
lenten,ratingone,"I just purchased this app but it says error downloading.
",info
lenfive,ratingone,"It does not install. Error 941
",info
lentwentytwo,ratingfour,"I enjoy this app as it helps correct my errors fast but it doesn't remember the personal words I put in.
",info
lennine,ratingfour,"And I'd like to see more, newer themes.
",info
lenseventeen,ratingfive,"The only thing that I can think of to make this app better would be more themes!
",info
leneleven,ratingfive,"I just wish there was an option to hide the keyboard.
",info
lenten,ratingfive,"Bigger space bar, more themes, faster responses, and more intuitive.
",info
lentwelve,ratingone,"Every time you reboot your device it reverts back to stock keyboard!
",info
lentwentytwo,ratingfour,"As mentioned by some others some times it seems to slow down on certain other apps while the original never did so.
",info
lentwentyseven,ratingfour,"I sure don't mind but at the same time making even speedier and smooth as jelly bean is on my s3 would always be greatly appreciate it.
",info
lenseventeen,ratingfive,"They updated recently with two new themes, but they're too girly. How about a few more?
",info
lenten,ratingfive,"It would be nice if it used the personal dictionary.
",info
lenthirteen,ratingfour,"Developers could add a slide type of writing and that would be awesome.
",info
leneleven,ratingfour,"I would give it a 5 if i support chinese as well.
",info
lentwentyseven,ratingone,"But after a month of having it, it became extremely slow, typing on the screen would not happen, half the time corrections would not even show up.
",info
lenfifteen,ratingfour,"But since I root my phone, I constantly change roms, therefore reseting all my words.
",info
lensix,ratingfour,"It feels bad reseting 2000 custom words.
",info
lenfiftynine,ratingthree,"I was hoping to have a good heart symbol with the key board because that's something a girl uses a lot for commenting on photos and stuff like that if added, and I would be much happier with the application and rate it a five stars but, there are not a lot of color choices for your keyboard......
",info
lenthirtysix,ratingfour,"The functional keys in the bottom: shift, enter, backspace etc. come in a certain color with every theme. I would like this color to be fully customisable to make it fit my phone's theme better.
",info
lenten,ratingthree,"Best prediction keyboard available but mediocre design and button placement.
",info
lenthirteen,ratingfour,"Amazing keyboard and good value but it needs to have slide/swipe options.
",info
lentwentyone,ratingone,"Predictions and double space bar to accept predictions and insert period are not longer available in browsers and many other apps.
",info
lenfive,ratingtwo,"Spell check randomly stops working.
",info
lenten,ratingtwo,"Prediction will sometimes turn off when I sleep the phone.
",info
leneleven,ratingfour,"Need S-Pen button and writing grid for the galaxy note!
",info
lenthirteen,ratingfour,"Needs better emotes and I thinks that's it except maybe custom keyboards.
",info
leneighteen,ratingfour,"If you could customize the keyboard to a different colour for all keyboards, I will give you 5 stars.
",info
lensixteen,ratingfour,"The back-spacing on the keyboard is a bit slow. I wish I could adjust it.
",info
lentwentyfour,ratingtwo,"This work great for a while but now keeps crashing my phone and my phone won't work again until I pull the battery
",info
lentwentythree,ratingfive,"Just need to be sure that you check over what you're typing as it can get weird if you're not careful.
",info
lenfour,ratingfour,"Just add swype pleeease
",info
lennineteen,ratingfour,"Only reason it doesn't get a 5 star is I can not use swype as on the Samsung keyboard.
",info
lenthirteen,ratingtwo,"SK3 was working flawlessly until the AT&T JB update for S3 recently came out.
",info
lentwentysix,ratingtwo,"When locking the screen while having the text field open and the keyboard out and then unlocking the phone, the text field rewrites itself and resizes.
",info
lenthirteen,ratingtwo,"Also, there is lag in the keyboard processes when sending and receiving messages.
",info
leneleven,ratingtwo,"Will return to give 5 stars once jb update issues are resolved.
",info
lenthirtysix,ratingthree,"I would like to see the numbers separately above the the first row of the keys. And when on land scape mode it takes up the whole screen and will not show you the text screen.
",info
lentwentyfour,ratingfive,"I've had it for a whole but avoided using it because it doesn't matter have the heart symbol like the Samsung keyboard.
",info
lenseven,ratingfive,"(I still hope for some hearts :D)
",info
lentwelve,ratingfive,"I do wish it supported Japanese characters, but otherwise it's perfect.
",info
lenthirteen,ratingfour,"Plzzzz i luv swiftkey but no vnmese support is a dealbreaker for me
",info
leneighteen,ratingfour,"Nice keyboard but even in its new v3 incarnation there's no dedicated voice key, hence losing a star.
",info
lennine,ratingfour,"C'mon Swiftkey, YOU NEED A DEDICATED VOICE KEY!
",info
lennineteen,ratingtwo,"It doesn't have a percent symbol, what the hell kind of keyboard doesn't have a percent symbol
",info
lensixteen,ratingtwo,"Would be awesome if it didn't keep resetting back to its original settings every 5 mins.
",info
lentwentytwo,ratingfour,"atm the lowest sound level for the type writer style sound is way too loud, I'd really like a quieter option!
",info
lenthirteen,ratingfive,"wish there was some more themes for it like maybe a pink one? :-)
",info
lentwentythree,ratingtwo,"Used to work brilliantly with previous android versions but the Swiftkey auto correct function stopped working after using it with Android jelly bean.
",info
lenthirtythree,ratingthree,"As much as is pains me to say, this app has been the root of a bunch of problems on my phone. Crashes and freezing are all too familiar when this is active.
",info
lenseven,ratingfour,"But I wish it used less memory!
",info
lenthirteen,ratingfour,"The word ""it's"" is almost impossible and always comes out as ""is"".
",info
leneight,ratingfour,"Also could you allow use of could words?
",info
leneight,ratingfour,"Please integrate learning from WhatsApp Messenger as well.
",info
lenthirtysix,ratingfour,"At the bottom corner there's an option for the regular smileys while texting but can there be an option to switch those to emoji or even an option to change them to what you want?
",info
lenseven,ratingfive,"Sometimes wish it had more themes though.
",info
lennine,ratingfour,"Only snag is the haptic feedback doesn't work.
",info
leneleven,ratingfour,"However the shift key could be either less sensitive or moved.
",info
lenthirteen,ratingfour,"Often times when I hit the ""A"" key I hit the shift key.
",info
lensixteen,ratingone,"I can't download the language pack. It's the same error over and over again.
",info
lensixteen,ratingthree,"Good app but the Turkish dictionary is very insufficient. It doesn't contain many basic words.
",info
lennineteen,ratingfour,"I request developers to add the support for training the keyboard through whatsapp similar to twitter, Google and Facebook.
",info
lensix,ratingthree,"Suggested words were never accurate either.
",info
lensixteen,ratingfour,"It's good but I'm only going it 4 stars because it doesn't have swype.
",info
lensix,ratingthree,"The best,no s-pen detection?
",info
lensix,ratingthree,"where is handwriting for s pen?
",info
lensixtythree,ratingfive,"My only issue with this and it's a SERIOUS issue with me is that since I got the update for my S III to 4.1 is that I can not find out how to turn off the haptic feedback when I type. The phone's settings have it turned off but no matter what I do to try and troubleshoot it, nothing works.
",info
lenfour,ratingfour,"would love more themes!
",info
lenfifteen,ratingthree,"But, it's been almost a year and I think one new theme was added!
",info
lennine,ratingthree,"Come on guys... Get on board the theme wagon!
",info
lentwelve,ratingfive,"Would like to see manual selection between languages instead of auto detection.
",info
lentwentytwo,ratingfive,"This by far the best keyboard out there, but with my recent update to JB, its kinda laggy and not so functional.
",info
lentwenty,ratingthree,"As mentioned by others, Google search has slowed with the keyboard not appearing for several seconds when using this keyboard.
",info
lentwentynine,ratingfive,"I have had this keyboard since I first got the Evo, I just love it, I wish it allowed me to input emojis but it is still a 5star app!
",info
lentwelve,ratingfour,"SwiftKey please add: Swipe, personal dictionary and prediction for email and name.
",info
lenfive,ratingone,"Not working with jelly bean
",info
lenfourteen,ratingfour,"Some of the predictive text functions are annoying but its a good app otherwise.
",info
lensix,ratingfour,"Pleeeaassseee come out with more themes....
",info
lenfourteen,ratingfour,"I'd still like an editable dictionary of the words that it has learned.
",info
lenfour,ratingtwo,"Closes while I type.
",info
lennineteen,ratingtwo,"Puts in wrong words when I have the right words and completely omits words when I type too fast.
",info
leneleven,ratingtwo,"Oh and the voice recognition of voice to text barely works.
",info
lenfifteen,ratingfour,"After updating to jb, there is no heptic intensity control. It's always full blast.
",info
lentwenty,ratingfive,"But i don't like keyboard skin model, if you can make keyboard skin like original keyboard, itu Will great
",info
lenthirty,ratingthree,"Just updated my AT&T galaxy s3 from os 4.0.4 to the new 4.1.1 jelly bean and my paid version of swift key 3 no longer works and keeps force closing fix this please??
",info
