Length,Ratings,Review,Relevant
lenthirtyone,ratingfour,"how come no matter how many times i select i want the statuses shown by ""most recent"" and not ""top stories"" it still wants to show them the ""top stories"" first??
",info
lenfourteen,ratingtwo,"i can't update my status, check-in or photos on my fb wall.
",info
lenfour,ratingthree,"always crashes, pls fix
",info
leneleven,ratingone,"either loads slower than molasses or doesn't load at all.
",info
lenseventeen,ratingone,"when i open it, whether on wifi or not, only first couple status load and then nothing.
",info
lennine,ratingtwo,"was working great but now no pictures will open
",info
lenfifteen,ratingfour,"it good app but i can't delete my comment in galaxy y pls update ^^
",info
lenfifteen,ratingtwo,"for facebook developer team, i recommend for the next update, please minimize the ram usage.
",info
lennine,ratingtwo,"because facebook is use 60% of my ram free spaces.
",info
lensix,ratingtwo,"this make my phone is lag.
",info
lenten,ratingtwo,"logged out and now i can't log back in.
",info
lenfifteen,ratingtwo,"i go to look at app data and find out it was using 204mb of cache?!
",info
lenfour,ratingone,"takes 30minutes to load pictures.
",info
lennine,ratingtwo,"app works great unless i am connected to wifi.
",info
lennine,ratingtwo,"then it just endlessly sits on a loading screen.
",info
leneighteen,ratingone,"complete and utter rubbish, no access to news feeds messages or notifications for weeks now,, sort it out!!!!
",info
lenseventeen,ratingfive,"its superb app, there was a problem on loading page  on my samsung galaxy 5830i please solve anybody
",info
lensix,ratingone,"can't see pictures and slow.
",info
lentwentynine,ratingtwo,"you can't edit your post once you comment and hit send. if you comment on someone's status and you make an error you can't fix it.
",info
lentwentyone,ratingone,"the font size facebook program in samsung galaxy note 10.1 is too small and do not have function to adjust font sizing.
",info
lenseven,ratingone,"slower and always need to force close.
",info
leneighteen,ratingone,"i have had this app for a while but since the last update it won't load anything!
",info
lensix,ratingone,"can barely even load my newsfeed!
",info
lensix,ratingone,"now force closes all the time
",info
lentwo,ratingone,"lags phone
",info
lenfifteen,ratingfour,"it works very well in my phone but it updates takes my sd card full.
",info
lentwentyfive,ratingtwo,"i had to remove all updates because it would never load and could never connect, but now that the updates are gone it works perfectly
",info
lensix,ratingone,"can not view any photos whatsoever.
",info
lenthirteen,ratingone,"no pictures would load and it would take forever for statuses to load.
",info
lentwelve,ratingone,"well see they still haven't sorted the loading to this app...
",info
lentwenty,ratingone,"have to either wait a stupid amount of time for updates or images to load or it just wont work.....
",info
lensixteen,ratingthree,"its good needs to able to change cover photos from my samsung galaxy s3 please next update
",info
lenfourteen,ratingone,"has crashed more times than i care to count - asus tf300t running android 4.1 please fix!!
",info
lenseven,ratingfour,"i cant download any pic from here...
",info
lensix,ratingone,"will not show pics just blank.
",info
leneleven,ratingtwo,"it works a bit slow and is not installable in mem.
",info
lennine,ratingtwo,"card but uses phone memory thts a bad thing
",info
lenten,ratingone,"i can post photos but i cant post status update.
",info
lennine,ratingthree,"connection sucks sometimes wont load photos with new update
",info
lenthirtyone,ratingthree,"after the last two updates i can no longer see pictures, it does load the feeds quickly but it isn't as good without being able to see all the pix
",info
lenten,ratingfour,"please add the option to save photo like in ios...
",info
lenthirtyeight,ratingthree,"lacks many features of the regular facebook website and in addition has glitches such as loading the same 10 events one is attending over and over again rather than showing any more and differn events further in the future.
",info
leneight,ratingone,"especially the notifications,aren't updating at all!
",info
lenfourteen,ratingone,"slow, unresponsive, and stories are mixed up even after hitting the ""most recent"" option.
",info
lenten,ratingone,"when i click it it offs my cellphone or whatever!!
",info
lenten,ratingone,"slower, force closes all the time, doesn't load pictures..
",info
lenfive,ratingone,"i cant post status here!
",info
lenthree,ratingone,"no image load
",info
lennine,ratingone,"it doesn't update my fb feed since 31st jan.
",info
leneight,ratingone,"i can force refresh and sometimes it works.
",info
lenfour,ratingfour,"should include b'days
",info
leneight,ratingone,"download gives a warning ""package file is invalid""
",info
leneleven,ratingtwo,"plz update this version to faster loading,it crashes many times...
",info
lentwentythree,ratingtwo,"all i want to do is check my notifications and messages..but i get stuck with a loading wheel that never goes away.
",info
lenthirteen,ratingone,"blank page takes a long time to load can't see my notifications
",info
leneighteen,ratingtwo,"all the tym while chatting its going to hang and force stop what yo ra1 yaaar plzzz fix it
",info
leneleven,ratingtwo,"ever since i updated i can't upload any pics wth
",info
lennine,ratingtwo,"just to slow all around 2 star app htc rezound
",info
lenfifteen,ratingone,"super irritating that photos and comments either don't load... or take forever to load.
",info
lenseven,ratingtwo,"it's slow unless you have wifi...
",info
lentwelve,ratingone,"work like our gorment of pakistan vrry slow app -5 stars for this
",info
lentwelve,ratingone,"every time i attempt to open it, my phone freezes and restarts.
",info
leneleven,ratingone,"it seems like every update facebook gets, the slower it gets.
",info
lenfive,ratingthree,"it couldn't load images.
",info
lentwentyeight,ratingthree,"from when i updated fb app is getting slow and it slow down my system also please release a new update that will over come all poof these
",info
leneight,ratingtwo,"sucks to slow gets stuck all the time.
",info
lenfive,ratingtwo,"this app is effin slow!!!!!!
",info
lenforty,ratingone,"takes forever to load & even longer to log out if u don't want it annoying u every 5 min& constanly using ur data, battery etc. i switch off the data, as this is the only way to really kill it.
",info
lensix,ratingone,"pictures do not load, at all.
",info
lenfive,ratingthree,"can't view any pictures
",info
lenseventeen,ratingone,"i can't post status anymore it says they post but don't plz fix droid raza
",info
lenseven,ratingthree,"voice messaging is not working on my galaxy3
",info
lenseventeen,ratingthree,"but it takes time to load please do it in next update than i will rate 5 star
",info
leneleven,ratingone,"worst app ever continuously forces close do not install this junk!!!!
",info
lennine,ratingone,"the pics on my newsfeed don't show up.
",info
lenseven,ratingone,"actually no pics show up at all.
",info
lenfifteen,ratingone,"i cannot post my own status in this app and also couldnt check in.i
",info
lenfifteen,ratingone,"comments disappear, pictures don't load and i can no longer edit or delete comments.
",info
lenten,ratingone,"now i can't open any links from my phone.
",info
lenfiftysix,ratingthree,"lags constantly, news feed loads so terribly slow, then a little bo pops up at the top under the status update and whatnot, telling me of new posts and once that gthes ten new updates or posts, i cannot like, comment nor even look a anything else not to mention the pictures don't even load.
",info
lenfive,ratingone,"freezing up daily horrible app
",info
lennine,ratingtwo,"but there is no option for editing & removing tags.
",info
lenfour,ratingtwo,"takes long to load.
",info
lenthirteen,ratingone,"i'm constantly facing unreasonable load times, as well as constant freezing issues.
",info
lenthirtysix,ratingone,"cant update my status, im a constant status updater now people are gonna start thinking i fell of this earth bc everytime i update and hit post it acts like its going too then bam nothing....
",info
leneighteen,ratingfour,"even after the update i still can not see any photos in news feed on my mobile device.
",info
lenthirteen,ratingfour,"even if i click on the picture itself it still won't load.
",info
lensixteen,ratingone,"i will bump it up to 5 stars when they can move it to my sd card!!!
",info
lenfifteen,ratingfour,"it just needs something like you get to go offline and just read news feeds
",info
lentwentytwo,ratingone,"it keeps force closing the only reason i still have the app is because its just a little faster than the internet
",info
leneight,ratingone,"why does it suddenly stop working for days?
",info
lennine,ratingone,"-pictures don't load when your looking through albums.
",info
lensix,ratingone,"-i can't update my status.
",info
lensix,ratingone,"-i can't comment on posts.
",info
lentwo,ratingone,"-network errors.
",info
lenfour,ratingone,"-""facebook is not responding""
",info
lenfour,ratingone,"pictures never load up
",info
leneleven,ratingthree,"some time it take lots of tym to run the app......:(
",info
lenten,ratingthree,"fix the incredibly long download problems for a better rating.
",info
lenthirteen,ratingone,"photos don't upload and these updates are causing facebook to run slowly.
",info
lensixteen,ratingone,"news feed won't update, pics won't load, no notifications, etc..... are the stocks down?
",info
lentwentyeight,ratingthree,"when i try to share images directly from fb to what's app or some other app, its not sharing some time and some time it works fine..
",info
leneleven,ratingthree,"when it is possible to share images why cant the videos...?
",info
lentwentytwo,ratingthree,"i cannot share the video to some other apps like whats app, etc.. (when i can share the images to whats app)..
",info
lenfourteen,ratingtwo,"loading pictures or comments on pictures or posts either never loads or takes forever.
",info
lennine,ratingtwo,"plus it doent update my changes, evan after refresh.
",info
lensix,ratingtwo,"and sometimes refresh doesnt even work.
",info
lensix,ratingone,"hey i can'log in properly.
",info
lenfortysix,ratingone,"it's slow, it keeps saying its updating and it won't let me see my news feed, and when i try and look at my friends pics it just says its loading, not to mention it freezes up all the time, i dnt like it ):
",info
lenthirteen,ratingtwo,"-no delete option like in the earlier version (like swipe and delete : missing)
",info
lenthirteen,ratingtwo,"-is very very moody, sometimes it is very fast and sometimes a pain.
",info
lennine,ratingtwo,"-cannot retrieve photo errors have become very common now.
",info
lennine,ratingtwo,"-no of likes are 98 even if there are 20000 likes.
",info
lenfour,ratingfive,"only increase my memory
",info
lenseventeen,ratingtwo,"well it use to be no internet connection problems with my samsung galaxy now its picture problems!
",info
lenthirtyfour,ratingtwo,"i can't view pics that i or other people have just uploaded i can see all or some of the older pics including my timeline & profile pics but none of the new ones.
",info
lentwenty,ratingtwo,"i also can't see video posts but if i click to on it view i can watch the videos.
",info
lenfive,ratingone,"takes forever to load anything....
",info
leneight,ratingtwo,"i can never upload photos using this app.
",info
lentwenty,ratingtwo,"the progress bar is always 0% with no title, and i can't make it go away without restarting my phone.
",info
lenfive,ratingthree,"tired of it forcing close
",info
leneleven,ratingtwo,"this app takes up way too much memory on my phone.
",info
lensix,ratingtwo,"keeps force closing all the time
",info
lenthirteen,ratingone,"slow to load n forces close htc hero, great if u run orig.
",info
lentwentyone,ratingone,"i told you that a dozen times already but thanks for the constant popup notification that can't be disabled ever.
",info
lenfive,ratingone,"still no sd card option.
",info
lensix,ratingone,"takes up way too much space.
",info
lenthree,ratingfour,"feed is delayed...
",info
lenfour,ratingone,"stupid app keep refreshing
",info
lennine,ratingone,"force closes constantly, will not let me view comments.
",info
lentwentytwo,ratingone,"my app has not worked right, the way i comment on anything/everything has been down graded and is not user friendly.
",info
leneight,ratingone,"my phone is fritzing out since the upgrade.
",info
lentwentythree,ratingtwo,"i've always used facebook movie mobile, but lately i've been having problems with my timeline not refreshing with the current update.
",info
lensixteen,ratingtwo,"it always reads ""network error."" this also has affected applications that i have connected to facebook.
",info
lensixteen,ratingfour,"when i open a picture in this app, it irritates me by opening previously opened picture ...
",info
lenfortyfour,ratingone,"this app is so slow will not add my pics most of the time and crashes my phone alot i uninstall and re install allot but the next time i uninstall thats it not getting back on if i could i would give 0 stars
",info
lenthree,ratingone,"constantly force closes.
",info
leneight,ratingone,"freezes, won't let me check in anywhere
",info
lenthirteen,ratingone,"my status won't ever upload and i can't tag any one....
",info
lenfive,ratingthree,"it should have multi tabs ...
",info
lensixteen,ratingone,"won't load anything when connected to wifi then it started not loading anything at all.
",info
leneight,ratingtwo,"it's so painful when login facebook now.....
",info
lenfive,ratingtwo,"loading everything is so slooooooow.
",info
leneighteen,ratingtwo,"this application was great before the last update, when i open a pic it opens a different pic.
",info
lennine,ratingthree,"since the last update i cant post any status...
",info
lenfifteen,ratingthree,"for me to be able to post a status, i need to open a browser..
",info
lentwentyone,ratingtwo,"i use my phone almost  exclusivly to log into fb and not being able to delete or edit comments is unacceptable
",info
lenthree,ratingone,"doesnt load pictures.
",info
lenfour,ratingthree,"keeps on force closing!!
",info
lenthirteen,ratingtwo,"always force closes when i try to log in to games thru facebook.
",info
lenseventeen,ratingone,"i get a forceclose every other time i open facebook now and it's driving me nuts...
",info
leneighteen,ratingone,"then when i reopen it, it takes minutes to load everything and the pictures take about 5 minutes longer.
",info
leneleven,ratingone,"fix this thing, no network error , the app es near useless
",info
lenten,ratingtwo,"i can't get any pics in the news feed.
",info
lennine,ratingone,"each update becomes increasingly intrusive into your personal life.
",info
lensix,ratingone,"can't turn off location tracking...
",info
leneighteen,ratingone,"so sick and tired of getting network error messages when at the same time, facebook web works fine!
",info
lentwentyfive,ratingone,"i always have to close the app from my multi-tasking so that the next time i open it, it will hopefully load my newsfeed.
",info
lenseven,ratingthree,"pictures and new stories load pretty slowly.
",info
lenten,ratingthree,"my biggest pet peeve is that i can't ""like""
",info
lenfifteen,ratingthree,"things 95% of the time, or it takes five or six taps to register the ""like.""
",info
lenseven,ratingthree,"notifications frequently take me to something irrelevant.
",info
lenseven,ratingthree,"this is constantly having problems loading comments.
",info
lenfifteen,ratingthree,"i can almost never get them to show on pictures, status updates or anything else.
",info
lenten,ratingone,"has anyone else been having issues with constant force close?
",info
lensix,ratingone,"can't post since last update.
",info
lennineteen,ratingone,"also, they need to make it so that you can hide posts from certain people like the website does.
",info
lennineteen,ratingtwo,"the app is good & all, but some images in my news feed can only be previewed instead of opened.
",info
lenfifteen,ratingtwo,"occasionally, the app says that the image can't be opened & please try again later.
",info
lenfour,ratingone,"move to sd please
",info
lenfive,ratingone,"news feed shows no pics...
",info
lenseventeen,ratingthree,"the only thing about the newer app i hate is the ""like"" and ""comment"" feature is broken.
",info
lensixteen,ratingone,"i have installed and  uninstalled this several time to get an up to date time line....
",info
lenten,ratingone,"slow, rarely loads anything - pages, photos, comments - nothing, constantly crashes.
",info
lentwentysix,ratingone,"i can't change my covert photo from my phone,  searching for anything is awful, i have to type , then delete, then retype, then it works.
",info
lentwelve,ratingone,"loading pics and comments take much longer, i.don't like it.
",info
lenfive,ratingone,"serious bug dealing with notifications.
",info
lentwenty,ratingone,"opening app from a notification after its been running in the background for a while results in endless wait loop.
",info
leneleven,ratingone,"never shuts down in the background and has no exit button.
",info
lensixteen,ratingone,"reinstalled to get the share link back bit the churning following a notification is still awful.
",info
lensix,ratingthree,"still has issues with check-ins. :|
",info
lentwentythree,ratingthree,"after the latest update, i have not been able to post status updates on the first try, even with strong 4g data or wifi.
",info
lenten,ratingthree,"generally speaking, the app seems much slower than previous versions.
",info
lenten,ratingthree,"i see ""unable to establish a secure connection"" errors often.
",info
lenthirtyfive,ratingthree,"also it refreshes while i'm trying to read updates in my news feed and seems me to top of news feed page so i have to scroll and search for what i was reading.
",info
leneleven,ratingone,"facebook crashes at least three times a day on my galaxy s2.
",info
leneight,ratingone,"i constantly clear data, but it still crashes...
",info
lentwentyfive,ratingthree,"cant post photos to certain albums, cant delete comments & sometimes when i try uploading photos, they say 'error and photo cannot be uploaded' or somethin :/
",info
lenten,ratingone,"now it won't even load, just keeps saying error.
",info
lenseven,ratingtwo,"doesn't update correctly, freezes a lot.
",info
lennineteen,ratingtwo,"needs fixed, doesn't show the comments or when i chose to look at pictures it doesn't load.
",info
lenseven,ratingone,"will not load this sucks try again :(""""
",info
lenfourteen,ratingthree,"most recent didn't really show most recent feed, it still show top story.
",info
lensix,ratingthree,"scrolling lag from time to time.
",info
lenfive,ratingtwo,"slow loading after last update...
",info
leneight,ratingtwo,"rarely refreshes news feed on the first try.
",info
leneight,ratingone,"only shows up to 98 likes on a photo
",info
lennine,ratingtwo,"i wish we could save pics from this app
",info
lensixteen,ratingtwo,"does everything you would expect, still needs some work on the approvals for privacy confirmation process.
",info
lenseventeen,ratingtwo,"but the major issue i have is some background task is grinding my phone to a halt.
",info
lenten,ratingfour,"i cant delete comments anymore ever since i updated it ..
",info
lennineteen,ratingone,"pointless to even have on my phone anymore can't even use it like i should be able to..
",info
lentwenty,ratingthree,"the new update has made it so i continually get network error or no internet connection which is just rubbish.
",info
lenfifteen,ratingone,"after updating my system shuts down, i get errors and i can't post anything.
",info
leneight,ratingone,"will not refresh at all on my droid
",info
lentwenty,ratingone,"far too slow never loads , cant see anything , 'crap' any time i refresh it goes straight onto my actual internet !!!
",info
lensix,ratingone,"keeps crashing, forcing it to close.
",info
lenfive,ratingone,"also you carnt view pictures
",info
lensixty,ratingone,"yeah so this app ain't bad i use it more than the browser but that's gonna change, i was wondering why my phone memory was all gone so i decided to uninstall the updates now i got a load more memory, so until you can save this app to the memory card then i'm not using it.
",info
lenseven,ratingone,"won't even let me log in!
",info
lentwentyfour,ratingtwo,"for some reason i cannot update my facebook status, leave comments, like things or perform any action on the mobile device that actually works.
",info
lensix,ratingone,"keeps losing conection, therefore uninstalling updates
",info
lenseven,ratingthree,"on my nexus seven tablet, nothing loads.
",info
lenseven,ratingthree,"i simply get a network error message.
",info
lensixteen,ratingone,"dear facebook,  please stop prompting me to add friends every friggin time i open your app.
",info
lenthirtyseven,ratingfive,"it worked perfectly fine for me until yesturday when i was on my laptop and changed my password, it logged me off my phone so i logged in with the new password and it kept saying error.
",info
lenfive,ratingtwo,"can't remove comments anymore.
",info
lentwenty,ratingthree,"once more will ask me this app to find friends from phone contacts list i will remove it i swear.
",info
lentwentynine,ratingfour,"i gave it 4 due to works and really gd but needs to be less i have it at 33.12 so slow then and i want it to get below then 20
",info
lentwentyfive,ratingone,"keeps playing up freezing lots of force close coming up come on fb sort it out i use it everyday and everyday i have problems
",info
lennine,ratingtwo,"been having issues with newsfeed refresh prior to that.
",info
lentwentyseven,ratingone,"now it tells me i have a single sign-on error, which even the great google search has not given me any clues on how to fix.
",info
lentwentytwo,ratingone,"it will sign in, but won't sync anything and won't post anything so it's basically useless for my purposes.
",info
lentwenty,ratingthree,"so u have to ask me if i want to use my contacts to find friends multiple times a day.
",info
lennine,ratingthree,"can't type two words without the thing crashing...
",info
lentwelve,ratingfour,"the only complaint i have is that it has problems loading pics.
",info
lenfourteen,ratingone,"it's slow to load (probably because it's searching my 'phone for stuff) .
",info
lentwelve,ratingone,"wants access to my 'photos, contacts, their birthdays and so much more!!!
",info
lenfive,ratingone,"i cant share my location :/:=
",info
lentwentyone,ratingtwo,"come on , facebook, every other app on my phone has functioning notifications, why can't you mange to get it right?
",info
lenseventeen,ratingthree,"wow my facebook use to be so slow it is so much faster and hasnt frozen yet.
",info
lenseven,ratingone,"the recent update has blank pages now.
",info
leneight,ratingone,"i cant see any pictures on my app.
",info
lenfourteen,ratingtwo,"the app runs extremely slow and sometimes not at all on the mobile network.
",info
lentwelve,ratingtwo,"pictures wont load and neither will contents.works fine threw wi-fi.
",info
lentwentyfour,ratingone,"the problem is it is constantly syncing and that drains battery  uninstall for an hour and you will notice huge increase in battery life
",info
lentwelve,ratingone,"it kicks me out once a day and drains my battery completely.
",info
lenten,ratingone,"my facebook is even slower than it already was before.
",info
lenten,ratingone,"it forced me to update which should be our choice.
",info
lensixteen,ratingone,"plz can i save pic, and iportent can i dalete comt from my pic and stetes....
",info
lenfive,ratingtwo,"vryy sloww and too heavy..
",info
lensix,ratingtwo,"almst occupy my whole system memory...
",info
lenseventeen,ratingone,"after auto correct got a word wrong i went back to change it, then the app froze.
",info
lentwenty,ratingone,"however, recently i have found myself waiting for an eternity to get anything to load properly if it even does.
",info
lenfiftyfive,ratingone,"well i have top of the range phone,  fastest internet in the uk and this app fails constantly, how can a company this large not create a working application is beyond me,  slow, pictures and comments regularly fail to load, constant network errors and to top it off facebook fail to respond to these issues...
",info
lennineteen,ratingtwo,"when trying to watch a youtube video through fb, the option to watch through the youtube app is gone.
",info
lenseventeen,ratingtwo,"you're automatically taken to the mobile youtube site where it says the video cannot be played.
",info
lensixteen,ratingtwo,"pretty frustrating, since it happens every single time i try to watch a posted youtube video.
",info
leneight,ratingtwo,"pics on the status update page dont load...
",info
lenfive,ratingone,"this app is so slow.
",info
lenfourteen,ratingone,"why don't i have the same options i do on the facebook website?
",info
leneleven,ratingone,"why can't i remove posts from people on the app?
",info
lenseven,ratingone,"why can i hide stories or pictures?
",info
lenfourteen,ratingone,"and lastly it's very slow loading and sometimes doesn't load at all.
",info
lentwentyone,ratingone,"the update said ""faster viewing of photos"" and now i can't see any pics at all, not even profile pics!
",info
leneleven,ratingtwo,"wont let me upload pictures and only notify's me sometimes?
",info
lentwentyfour,ratingone,"slow, forces close all the time and notifications don't clear from home screen on the phone even when logging off and on again.
",info
lensix,ratingone,"takes lot of time to load.
",info
leneleven,ratingtwo,"can't copy text, save puctures, or change my cover picture
",info
lenseven,ratingone,"signal is good but app says not.
",info
lenfour,ratingone,"no access to pages.
",info
lenfourteen,ratingone,"can't find them (used to find with friends ) or follow comments any longer.
",info
lenfifteen,ratingone,"afterwards, photos are just gray squares and they don't always load when clicked on.
",info
lentwentytwo,ratingone,"now with the newest update, i was hoping the problems would be fixed, but instead the pictures won't load at all.
",info
lensix,ratingone,"all sharing options do not work
",info
lenten,ratingone,"the worst thing fr such a top developer, so slowwwwswwwwwwwwww
",info
lensixteen,ratingone,"ever since the latest update i have not been able to view photos on the app.
",info
lentwelve,ratingfour,"it will not let me change my cover photo fix this 5 stars
",info
leneight,ratingone,"the describtion for pictures shows only three lines.
",info
lenthree,ratingone,"very slow loading
",info
lensix,ratingtwo,"loading...loading...loading all the time.
",info
lenfive,ratingtwo,"slow down my whole phone.
",info
lenseven,ratingone,"i keep getting the ""error posting comment""
",info
lentwentynine,ratingone,"message in facebook for android (latest version) whenever i try to reply to something from a notification; also, whenever i get this error, whatever i had typed in, disappears.
",info
lenten,ratingone,"absolute friggin joke constantly forcing close and constant network error!
",info
leneleven,ratingone,"so frustrating that i cannot see any photos or links now!!!
",info
lennineteen,ratingthree,"lately i'm constantly getting network error for no reason and constantly error trying to send pics in message
",info
lentwentyone,ratingone,"i have tried about twenty times to get on my fb and it say connection lost when i have five bars.
",info
lenthree,ratingone,"hangs on updating
",info
lensix,ratingtwo,"i cant post my status updates..
",info
lenfortyseven,ratingone,"this was a good app but now it will not show some posts or it will arrange them in any order that it wants i.e. first post will be from 2 weeks ago, the next post will be from a month ago, then the next from today.
",info
lensix,ratingone,"horrible tos for privacy/app permissions.
",info
lentwentytwo,ratingone,"you *do not* need my private text msgs, my photos, my entire contact list and address book to make this app successful.
",info
lensix,ratingone,"i'm not able to update.
",info
lenseventeen,ratingone,"last update i can't search for friends and won't load profiles or photos please fix
",info
lenfourteen,ratingone,"takes forever to load and most of the time doesn't load at all.
",info
lenseven,ratingone,"too much crap appearing in my newsfeed.
",info
lenfive,ratingone,"stupid network error, htc one 4.1
",info
lentwentynine,ratingone,"and on this galaxy note 10.1 tablet from samsung nothing loads !, all i get is network errors even after i tether from my phone , so bulls**t its my network .
",info
leneight,ratingone,"images take forever to load, if at all.
",info
lenthirteen,ratingone,"likes and comments don't show up as quickly as they used to.
",info
lenseventeen,ratingone,"i have my newsfeed set to most recent news and it keeps reverting back to top stories.
",info
leneleven,ratingone,"the newsfeed takes forever tp.load, and sometimes doesn't load.
",info
lenfour,ratingone,"katana always forces close.
",info
leneight,ratingone,"just get the loading circle forever and ever.
",info
lenthirty,ratingone,"it was always a bit slow and lagging but now i cant load any content or photos at all, no matter how many times i force close or restart my 3g.
",info
lenfourteen,ratingone,"my normally super fast experia x8 now goes at quarter speed since installing this app.
",info
lenthirteen,ratingone,"i don't even start the app and its running in the background
",info
lenseven,ratingone,"i can't change the cover pic :'(
",info
lenfourteen,ratingone,"suddenly i can't open messages, i can't see photos, it's sssllllowww...
",info
leneleven,ratingone,"large app with no option to install on the sd card.
",info
lenfourteen,ratingone,"if this app becomes much slower, it may very well only work in reverse...
",info
lentwentytwo,ratingone,"last update has made the app not load pics or graphics until several seconds, sometimes minutes, and very often not at all.
",info
lentwenty,ratingtwo,"half the time when i use facebook it says network error and won't load, when i have perfect 4g signal.
",info
lenfifteen,ratingtwo,"i have to force close and try many different times for facebook to even load.
",info
lenfiftynine,ratingtwo,"i can't change my cover photo, i deleted my most recent cover photo and can't find a way to upload a new one on my android for my profile, there is no mini camera in the corner of the cover photo box and i can't change it if i go to my cover photo album either.
",info
lensix,ratingone,"many times hang or stops working......
",info
lenseven,ratingone,"it freezes, goes blank, and constantly refreshes.
",info
lentwentytwo,ratingone,"everything looks nice but when i use the most recent timeline it gives me posts form three weeks ago as most current.
",info
lennine,ratingtwo,"pictures and comments load when they feel like it.
",info
lentwelve,ratingtwo,"eats all the data and storage to my phone please fix this!!!
",info
