Review,Relevant,id,embedding,cluster
"Can you add traditional Chinese?
",1,350,"[0.31889277696609497, -0.038198262453079224, 0.3311487138271332, 0.2545974850654602, -0.043494224548339844, -0.03898178040981293, -0.05731362849473953, 0.02088216319680214, 0.0399833507835865, -0.032061245292425156, -0.05424661934375763, -0.15278464555740356, -0.01717980019748211, 0.09715587645769119, -0.018789615482091904, 0.016318799927830696, 0.054388377815485, -0.04685778543353081, 0.05276750400662422, -0.0788680762052536, 0.11889693886041641, 0.008877445012331009, 0.0013186263386160135, 0.038161393254995346, 0.046076394617557526, 0.024747541174292564, -0.024285465478897095, 0.010269934311509132, 0.11902856081724167, 0.035969797521829605, -0.07134035974740982, 0.0735911950469017, -0.03208821266889572, -0.08340300619602203, 0.05938996002078056, 0.11061708629131317, 0.08374378085136414, -0.1019868552684784, -0.062495164573192596, -0.047768253833055496, -0.01040662918239832, 0.10848893970251083, -0.017701588571071625, -0.052745308727025986, -0.013125070370733738, -0.09295489639043808, 0.08297892659902573, 0.07119425386190414, -0.018065256997942924, -0.0189621951431036]",1
"If got Chinese input I will give you 5 star.
",1,371,"[0.265606164932251, -0.16364261507987976, 0.33450865745544434, 0.19434598088264465, -0.19245821237564087, 0.07884801924228668, -0.05693561211228371, -0.13496094942092896, 0.08420136570930481, 0.0669165551662445, -0.14104966819286346, -0.26607510447502136, -0.08664482086896896, 0.027568642050027847, -0.01334239263087511, -0.016545463353395462, 0.07338682562112808, 0.023166170343756676, 0.07725892961025238, -0.094352126121521, 0.0892874151468277, -0.08115992695093155, 0.04521278664469719, 0.01847147010266781, -0.06564214825630188, -0.06604621559381485, 0.04573352262377739, -0.009360863827168941, 0.12287481129169464, 0.07860367000102997, -0.030147401615977287, 0.09216275811195374, -0.020363733172416687, 0.034749165177345276, 0.028621727600693703, 0.0808405801653862, 0.02779659442603588, -0.07402422279119492, 0.06635517627000809, -0.08104781061410904, -0.024416664615273476, 0.047886911779642105, 0.036282021552324295, 0.02592913806438446, -0.004792880732566118, -0.014191174879670143, 0.049461476504802704, 0.036422137171030045, -0.04826011881232262, 0.03409288451075554]",1
"Hope faster get Chinese input!!
",1,372,"[0.17588426172733307, -0.1365146040916443, 0.3225898742675781, 0.2566000521183014, -0.1371288001537323, 0.13375508785247803, -0.10270395129919052, -0.09655749797821045, 0.1678878664970398, 0.035474743694067, -0.08724112808704376, -0.19847849011421204, -0.16177932918071747, 0.07470005750656128, 0.02991998754441738, 0.037787891924381256, -0.019812021404504776, -0.0417567603290081, 0.08896418660879135, -0.04397604241967201, 0.055066175758838654, 0.023315327242016792, 0.18257635831832886, -0.053543247282505035, 0.027484988793730736, -0.07566923648118973, 0.08225544542074203, 0.04853478819131851, 0.09145243465900421, -0.020126866176724434, -0.0193463247269392, 0.0781630277633667, -0.02621917612850666, 0.018546070903539658, 0.0073499660938978195, 0.05711537227034569, 0.05131630599498749, -0.0009535414283163846, 0.07059796154499054, -0.13904927670955658, -0.07079463452100754, -0.00835702009499073, 5.376031822379446e-06, 0.03409560024738312, 0.01192948967218399, 0.03134728595614433, 0.0568111278116703, 0.02042156085371971, 0.028371356427669525, 0.008674045093357563]",1
"Were need Chinese input!!!
",1,373,"[0.2901262938976288, -0.146548792719841, 0.3368137776851654, 0.2776854932308197, -0.25084587931632996, 0.0890367180109024, -0.1562657356262207, -0.05089835077524185, 0.11690942943096161, 0.08617976307868958, -0.111943818628788, -0.17725341022014618, -0.026640070602297783, 0.0617501474916935, 0.05750399827957153, 0.0500180684030056, -0.031071001663804054, -0.045028701424598694, 0.10097963362932205, -0.06658570468425751, 0.05095683038234711, -0.06036911532282829, -0.02092140167951584, 0.007289942353963852, 0.04371408373117447, -0.0180345568805933, 0.05417792499065399, 0.03621665760874748, 0.1305447667837143, 0.02415402978658676, -0.028355099260807037, 0.09806814789772034, -0.03367326036095619, 0.03078049048781395, 0.01529352180659771, 0.06034105643630028, -0.0005914568901062012, -0.10858292877674103, -0.002888343995437026, -0.14032158255577087, -0.1046300083398819, 0.024845048785209656, 0.04379652440547943, 0.04912487417459488, -0.0022869284730404615, 0.00242151808924973, 0.03780747577548027, -0.007895502261817455, -0.03467142581939697, -0.009670143015682697]",1
"Any chance to add Chinese language?
",1,423,"[0.28609180450439453, -0.06428123265504837, 0.315140962600708, 0.3585141897201538, -0.13423191010951996, 0.02735747955739498, -0.03520961478352547, -0.051617514342069626, 0.11575005948543549, -0.12766242027282715, -0.08777260780334473, -0.11575601249933243, -0.06855367124080658, 0.030024640262126923, 0.020996849983930588, -0.03057233989238739, 0.025595426559448242, -0.03423294797539711, -0.02241041325032711, -0.0864226445555687, 0.012956710532307625, 0.06916332244873047, 0.10578150302171707, 0.006804794073104858, 0.11546098440885544, 0.023736707866191864, 0.07707557082176208, -0.029776811599731445, 0.07716433703899384, 0.004709143191576004, -0.00472545949742198, 0.10569916665554047, -0.024963920935988426, -0.0529714971780777, 0.037913206964731216, 0.060545895248651505, 0.08619187027215958, -0.0702313631772995, -0.05289855971932411, 0.010511314496397972, -0.021003250032663345, 0.033485472202301025, -0.018418746069073677, -0.047592490911483765, 0.03170741721987724, -0.0013588950969278812, 0.06772297620773315, 0.03714704513549805, -0.018714971840381622, 0.0069488780573010445]",1
"All we need is Chinese input (I prefer strokes)
",1,463,"[0.2758077085018158, -0.08487600833177567, 0.3082647919654846, 0.11294316500425339, -0.026848193258047104, 0.06718078255653381, -0.08077964931726456, -0.09769075363874435, 0.024842195212841034, 0.050086431205272675, -0.12881878018379211, -0.2404935508966446, -0.05302896350622177, 0.0438300259411335, 0.008488445542752743, -0.011228691786527634, 0.016004174947738647, 0.05796525627374649, 0.06322608888149261, -0.007222272455692291, 0.11545353382825851, 0.05180080235004425, 0.10729596018791199, 0.14697250723838806, -0.08698775619268417, -0.030489686876535416, 1.74934775714064e-05, 0.03648758307099342, 0.04164731130003929, -0.007215313613414764, 0.008884359151124954, 0.07387479394674301, -0.04920124635100365, 0.013101181015372276, 0.028614768758416176, 0.015345815569162369, 0.0075394026935100555, 0.045317381620407104, 0.014003480784595013, -0.06861943006515503, -0.008366347290575504, -0.018516551703214645, 0.03148511424660683, -0.00980942789465189, -0.054829005151987076, 0.03873462229967117, 0.0628388375043869, 0.008113257586956024, 0.005895107518881559, 0.033292487263679504]",1
"It's been MONTHS since hundreds if not thousands of users faithfully and trustingly waiting for the additional of Chinese language support.
",1,467,"[0.12121723592281342, -0.257697194814682, 0.21825210750102997, 0.24984797835350037, -0.10683344304561615, 0.03627423197031021, -0.06704044342041016, -0.2481313943862915, 0.055300649255514145, -0.023308567702770233, -0.03933502733707428, -0.15096493065357208, -0.0242755189538002, -0.04485376179218292, -0.06577789783477783, -0.018462341278791428, -0.08528948575258255, 0.01883711665868759, 0.13584603369235992, -0.053238220512866974, 0.04706733673810959, 0.07990072667598724, 0.1521141529083252, 0.00791484210640192, -0.004174492321908474, -0.06333347409963608, -0.0036607317160815, 0.060163650661706924, 0.010772698558866978, 0.03729062154889107, -0.023613210767507553, 0.1000438928604126, -0.052969466894865036, -0.043946702033281326, 0.05385541170835495, -0.017644166946411133, 0.025380199775099754, 0.07227542996406555, -0.061367880553007126, 0.06831774115562439, -0.015180730260908604, -0.05997099727392197, -0.006818126421421766, -0.00868617370724678, 0.05363187938928604, 0.09200943261384964, -0.01189994253218174, 0.0375923328101635, -0.029402943328022957, -0.07514667510986328]",1
"But with more languages added,Chinese never made the list.
",1,468,"[0.21222272515296936, -0.24089428782463074, 0.3807501792907715, 0.31123965978622437, -0.19924940168857574, 0.014522052370011806, 0.013786787167191505, -0.1072135865688324, -0.01444463711231947, -0.06206481531262398, -0.0738862156867981, -0.1672281175851822, -0.005723258946090937, -0.08453463762998581, -0.03760407119989395, -0.10533881932497025, -0.026327239349484444, -0.006530680228024721, -0.005213025026023388, -0.025353167206048965, 0.0684460699558258, 0.03228064626455307, 0.0161757729947567, 0.07411880791187286, 0.06519496440887451, -0.034553371369838715, -0.005560348276048899, -0.02696041390299797, -0.06929822266101837, 0.06865649670362473, -0.029035169631242752, 0.025664523243904114, 0.034224607050418854, -0.15585695207118988, -0.00010241862037219107, 0.028340796008706093, -0.011741708032786846, -0.05899719148874283, -0.025549041107296944, -0.037028614431619644, -0.05106024444103241, 0.020496102049946785, 0.050711993128061295, -0.0033174583222717047, -0.019953517243266106, 0.03583040088415146, -0.016612695530056953, 0.09210453927516937, 0.007462294306606054, -0.05190211161971092]",1
"Speaking of which though, I wish there was Japanese and Chinese available so I don't have to keep switching keyboards just to type those!
",1,527,"[0.15801545977592468, 0.07532596588134766, 0.4182182252407074, 0.18721233308315277, -0.01728910207748413, -0.008158831857144833, 0.06064017489552498, -0.11193078756332397, 0.05028047412633896, -0.022115733474493027, 0.10657014697790146, -0.18532954156398773, -0.09933590888977051, -0.04119383171200752, 0.031296879053115845, -0.04654102772474289, 0.05501670762896538, -0.0921696200966835, 0.07075238227844238, 0.05411291494965553, 0.11064930260181427, 0.009596491232514381, -0.033338673412799835, 0.021495627239346504, 0.11646460741758347, 0.020985819399356842, -0.013797551393508911, 0.009158720262348652, -0.019696278497576714, 0.021719329059123993, -0.019674206152558327, -0.016711480915546417, -0.06912334263324738, 0.02760876528918743, -0.020424537360668182, 0.033671505749225616, -0.04291875660419464, -0.003152705729007721, 0.062025733292102814, -0.01870257407426834, 0.005082662682980299, -0.029523085802793503, -0.0022238725796341896, 0.0662882998585701, -0.026750976219773293, -0.0799427404999733, 0.042804088443517685, -0.03236740455031395, 0.04217417165637016, -0.026461288332939148]",1
"I mean, there's even languages I have never heard of, but not Chinese mandarin...oh and another, at times it doesn't automatically autocorrect and a word such as ""gjakdn"" will pass
",1,539,"[0.18231675028800964, -0.2147587686777115, 0.34122541546821594, 0.11128469556570053, -0.11754024773836136, -0.08078767359256744, 0.08426012098789215, -0.16470542550086975, -0.021711677312850952, -0.02356584370136261, -0.04187478870153427, -0.23426975309848785, -0.023982133716344833, -0.01770830526947975, -0.052873264998197556, -0.02722565270960331, -0.03804442659020424, -0.03755849227309227, 0.017033258453011513, 0.023049483075737953, 0.04719758406281471, 0.11010724306106567, -0.01043317187577486, 0.02275182120501995, -0.023788897320628166, -0.06528853625059128, 0.06830975413322449, -0.005903813987970352, 0.016578150913119316, 0.05247669294476509, 0.01270755659788847, 0.06425494700670242, -0.022314738482236862, -0.05470273643732071, -0.016165176406502724, 0.008632645942270756, -0.0036710139829665422, -0.003743149805814028, -0.00761807756498456, -0.004801725968718529, 0.0017419791547581553, -0.032311223447322845, 0.06245371699333191, -0.013024946674704552, -0.029280681163072586, 0.03155893459916115, -0.002552174963057041, 0.02633078582584858, -0.05427883565425873, -0.02146230638027191]",1
"Why still not support Chinese?
",1,575,"[0.09656477719545364, -0.2104586660861969, 0.27062180638313293, 0.33716878294944763, -0.24609783291816711, 0.03969535604119301, -0.06446944922208786, -0.08639199286699295, 0.024433232843875885, -0.13303270936012268, -0.1710960865020752, -0.15428373217582703, -0.002132654655724764, -0.08106353878974915, -0.037732671946287155, -0.12882846593856812, -0.08041679859161377, -0.047862567007541656, 0.12069452553987503, -0.00760016031563282, -0.027189698070287704, -0.01651732064783573, -0.01814834214746952, -0.006298873107880354, -0.11370890587568283, 0.1040981262922287, 0.11408861726522446, 0.0634857788681984, 0.0026970289181917906, 0.054635901004076004, 0.049735259264707565, 0.025345928966999054, 0.03863151744008064, -0.07192995399236679, -0.040341608226299286, 0.04128427803516388, 0.07304936647415161, 0.041009433567523956, 0.007209894247353077, 0.03384580463171005, -0.10191497206687927, 0.036883432418107986, -0.015709908679127693, 0.030646737664937973, 0.07833168655633926, 0.0071329521015286446, -0.021120639517903328, -0.005071219522505999, -0.06319080293178558, -0.037658046931028366]",1
"I love this app but how come chinese is still unavailable?
",1,586,"[0.02154586650431156, -0.1580130010843277, 0.1856120526790619, 0.402541846036911, 0.1775493621826172, 0.017194129526615143, 0.0365811251103878, -0.1653904914855957, 0.011507431045174599, 0.0670318529009819, -0.00689066993072629, -0.20260649919509888, -0.01504855789244175, -0.08389509469270706, 0.08727539330720901, -0.052917324006557465, 0.004765665158629417, 0.04206522926688194, 0.03403163701295853, -0.04577431455254555, 0.081877700984478, -0.018995096907019615, -0.01459331065416336, 0.031393103301525116, 0.0439402274787426, -0.041419997811317444, 0.047881465405225754, 0.03742729127407074, -0.011633329093456268, 0.019017355516552925, -0.021944504231214523, 0.043607454746961594, -0.003483322449028492, -0.10235393792390823, -0.017591221258044243, 0.06449948996305466, 0.027669673785567284, -0.03792094066739082, -0.0071121989749372005, -0.000617664132732898, -0.03981016203761101, 0.008031724020838737, -0.03281700983643532, 0.013639882206916809, -0.0011046144645661116, 0.005035989452153444, 0.028007710352540016, 0.006371474824845791, -0.04016261547803879, -0.03303765505552292]",1
"When it support Chinese!!
",1,587,"[0.08659231662750244, -0.1578291654586792, 0.23335909843444824, 0.33686599135398865, -0.16704680025577545, 0.024538444355130196, -0.041701920330524445, -0.06948431581258774, 0.08995416015386581, 0.04221288487315178, -0.09615533798933029, -0.19277141988277435, 0.024447854608297348, 0.016364509239792824, -0.003331238403916359, -0.1083078607916832, 0.006153557449579239, -0.049795232713222504, 0.06607268750667572, -0.03694769740104675, -0.022581158205866814, 0.11062625795602798, 0.03285593539476395, -0.05875079706311226, -0.09378332644701004, 0.09080059826374054, -0.011270134709775448, 0.1175389364361763, -0.01936677098274231, 0.0025699608959257603, -0.09871423989534378, 0.047606974840164185, 0.07309512794017792, 0.0006904547335579991, 0.01830749772489071, -0.004578068852424622, 0.08483351022005081, 0.013799555599689484, 0.03554754704236984, 0.07866531610488892, -0.05283956974744797, -0.025841640308499336, -0.024060294032096863, 0.045506615191698074, 0.04144030064344406, 0.07315810769796371, -0.04808743670582771, 0.026081325486302376, 0.03754398226737976, 0.024686399847269058]",1
"Could u guys please add Chinese to the languages list?
",1,589,"[0.3009476661682129, -0.10014534741640091, 0.3281077444553375, 0.32321956753730774, -0.1037369892001152, -0.00288004451431334, 0.005409765522927046, -0.1548210084438324, 0.03113565780222416, 0.026220282539725304, 0.0015029915375635028, -0.1576099991798401, -0.1121782585978508, 0.08609391748905182, 0.03738055005669594, -0.019556570798158646, -0.027792055159807205, 0.061685625463724136, -0.07086936384439468, -0.03912863880395889, -0.004736024886369705, 0.020363181829452515, 0.006670995149761438, 0.03672958165407181, -0.029202545061707497, -0.06468859314918518, 0.035733770579099655, -0.0036748882848769426, 0.02677811123430729, 0.1269652545452118, -0.04166712984442711, 0.06157983839511871, -0.015562254935503006, -0.045883070677518845, 0.05004270747303963, 0.08921153843402863, 0.06239264830946922, -0.04116731882095337, -0.02246221899986267, -0.03396255150437355, -0.02438494749367237, 0.008612582460045815, 0.024185683578252792, -0.0008966788882389665, -0.012655897065997124, -0.023828059434890747, -0.0013581967214122415, 0.04704584553837776, -0.012344340793788433, 0.028573567047715187]",1
"My favorite, really, but it makes me have to switch to other input methods because of the lack of Chinese support.
",1,673,"[0.16456924378871918, -0.038973983377218246, 0.2202291190624237, 0.060748327523469925, 0.10150196403265, 0.07612770795822144, 0.13127467036247253, -0.04851716384291649, -0.06346112489700317, 0.14521345496177673, -0.024242516607046127, -0.21944323182106018, -0.053408797830343246, 0.0018102717585861683, -0.02670915052294731, -0.10364069044589996, -0.02688814513385296, 0.06785343587398529, 0.04014444723725319, -0.001705605536699295, 0.1961534172296524, 0.05777553841471672, 0.03571655601263046, 0.05657828599214554, 0.005571913439780474, -0.07693960517644882, -0.01780715212225914, 0.0716317892074585, -0.042527150362730026, 0.09974514693021774, 0.04769185557961464, 0.012925460003316402, -0.09560505300760269, -0.03935578837990761, -0.049064502120018005, -0.03366076946258545, 0.02891034446656704, 0.043478574603796005, 0.07058350741863251, -0.038390837609767914, 0.050653453916311264, -0.041867390275001526, 0.10085538774728775, -0.032791897654533386, -0.11674591153860092, -0.018729422241449356, 0.04162335395812988, -0.02126084640622139, 0.02186371199786663, 0.02983192168176174]",1
"But please add Chinese language support, really need it.
",1,717,"[0.167460635304451, -0.09962581098079681, 0.29860877990722656, 0.32952094078063965, -0.02762513980269432, -0.043222445994615555, 0.02071770280599594, -0.12062225490808487, 0.13110049068927765, -0.06801638007164001, -0.03191758692264557, -0.15810582041740417, -0.11564204841852188, 0.03403320163488388, -0.019121211022138596, -0.04848051816225052, 0.004276164807379246, -0.005475076846778393, 0.0032734486740082502, -0.11059156060218811, -0.007313829381018877, 0.05480438470840454, 0.07623621076345444, 0.07325616478919983, -0.016315331682562828, -0.014501038007438183, 0.04064355045557022, 0.057469479739665985, -0.007866902276873589, 0.09922583401203156, -0.08896111696958542, 0.07412640750408173, -0.00030662454082630575, -0.04835190996527672, -0.010485428385436535, 0.035160619765520096, 0.0272543765604496, -0.006949201691895723, -0.09064696729183197, -0.0261591337621212, -0.01193646714091301, 0.05365815386176109, 0.02698984555900097, -0.009025491774082184, -0.02191980369389057, 0.007810406852513552, -0.019560230895876884, 0.060855187475681305, 0.02996249496936798, 0.029087049886584282]",1
