Review,Relevant,id,embedding,cluster,membership_cluster_0,membership_cluster_1,membership_cluster_2,membership_cluster_3,membership_cluster_4,membership_cluster_5,membership_cluster_6,membership_cluster_7,membership_cluster_8,membership_cluster_9,membership_cluster_10
"If you could customize the keyboard to a different colour for all keyboards, I will give you 5 stars.
",1,256,"[0.13788071257260393, 0.29284792799311143]",9,0.018934133773166942,0.012494075876217299,0.28899537344631987,0.0016019280280855082,0.016372596013935592,0.018143734413297252,0.004690926284156726,0.0023214398137825737,0.004628117161977469,0.6277235982573752,0.00409407693168557
"It would be more awesome if they would add a screen shot key.
",1,349,"[0.21606488679171412, 0.13557347714225731]",9,0.006899399032642532,0.009423789228487774,0.10007265177664112,0.003339467643981874,0.06492917515447516,0.3802653586923835,0.010996251139451723,0.00803629335726771,0.006903458833730735,0.38997865405282917,0.019155501088108786
"Certainly the best for typing, the only thing I would like you to improve in a upcoming update is maybe a few more themes?
",1,461,"[0.18574447451601192, 0.18277215098933125]",9,0.008344422059286604,0.009748795119273977,0.17404982188295434,0.0022912320820713465,0.04081484010274717,0.09766909384213042,0.007607494457491048,0.0045203927931699505,0.005597021954618911,0.6404616365665897,0.008895249139666538
"As petty as it sounds I would love a red keyboard to match the rest of my phone's theme and case!
",1,462,"[0.17091028787588325, 0.2861747103153196]",9,0.005621859542445674,0.004115272805604767,0.07288357449060572,0.000660919356987661,0.006719071420056415,0.009413247538454194,0.0018875485372463383,0.0010303362024705568,0.0017435354038786233,0.8935525672016226,0.0023720675006275883
"I like this a lot more than the standard key pad thing, would get 5 stars if you added swype.
",1,475,"[0.20819188468911853, 0.27571815158731583]",9,0.0006034386565275184,0.0004873731697114921,0.006515820520061837,9.917932791677184e-05,0.0009841216951997447,0.0018125914894172623,0.0002743715127190751,0.00016760652977086245,0.00023668072926985817,0.9882787839998992,0.0005400323695062054
"PLZ make more themes n can u make the key board look like adapt keyboards plz make the key board respond faster
",1,483,"[0.28168961564052397, 0.342914898181181]",9,0.00041009018389539804,0.0003025985044753939,0.0021214480109402814,7.854735894379452e-05,0.0005222934701748663,0.0010639315550899457,0.00018453885011245636,0.00013134129126965525,0.0001611929080085234,0.9942143184430274,0.0008096994240621997
"This is an outstanding app and I would give it a 5 rating if they can add: (1) Swipe functionality and (2) More keyboard themes.
",1,518,"[0.26198572056210356, 0.23513795862841202]",9,9.310753554967305e-05,8.959814053395058e-05,0.0008470604295570994,2.635894855035895e-05,0.00026253609880646475,0.0008114396748652288,7.057562665894435e-05,5.1952232132129525e-05,5.388184198598882e-05,0.997393761295113,0.0002997281762471565
"Is there anyway swift key can create a red color theme?
",1,627,"[0.16552210012568128, 0.22241231272967454]",9,0.009028409105351652,0.008781609942035891,0.2159755496823801,0.0015537800213320776,0.023109865680930874,0.03629339370794023,0.005002390905481061,0.0026788442812554878,0.004165804838810446,0.6885022840876431,0.00490806774683896
"Add more keyboard skins please!!!
",1,652,"[0.21664589984947022, 0.25596542337606554]",9,0.00041945653637938363,0.00036697747025668417,0.004822333755434346,8.154384265355437e-05,0.000866128308790134,0.0018235946091493139,0.00022899494610276538,0.0001447097537655803,0.00018933412373674946,0.9905593027315805,0.0004976239221507448
"It would be nice if they had more keyboard customizing.
",1,667,"[0.2776762572354557, 0.2652845012984991]",9,1.333921150246173e-06,1.18693870530596e-06,9.942753071295297e-06,3.460438854314206e-07,2.949244173273999e-06,8.175159495748396e-06,8.78380400360183e-07,6.537468465986564e-07,6.961334778010845e-07,0.9999693966579513,4.441020842874273e-06
"Add some more themes, keypad and key press tones..
",1,668,"[0.3645896214636523, 0.22211936309387753]",9,0.0015809751930408941,0.001601340917333499,0.008800216599172968,0.0007095198958176225,0.0050082349883303935,0.021897315011655993,0.0016282177975005339,0.0015575660019804163,0.0011630837468591384,0.9181393448577778,0.037914184990530696
"Only minor issue I have is I wish there was more themes for the key board
",1,672,"[0.3930750051579307, 0.30326287588847706]",9,0.002263242845353754,0.00198970594461954,0.009734264073012349,0.0007945192508436462,0.004497871763034083,0.013373196684482157,0.001696624224642696,0.0015297091400728357,0.0013304834184729793,0.9327480728617297,0.030042309793736267
"It's would be refreshing to see other keyboard themes.
",1,735,"[0.3425670064080313, 0.2903416267452042]",9,0.00042253624740770277,0.000369543780601457,0.0021949853330434314,0.0001300140051017789,0.0008594306370573921,0.0025239646576805663,0.00029676835038182733,0.00024846697568734903,0.00023405292893114617,0.9895173591575802,0.0032028779265271872
"PLZ make more themes n can u make the key board look like adapt keyboards plz
",1,771,"[0.3633432709885641, 0.33077891385212277]",9,0.0015203676864229715,0.0012502280975366072,0.006575663971399828,0.0004375113805575352,0.002525361050708565,0.006512712242827937,0.0009513278830604202,0.0007955398564478712,0.0007778729907792074,0.9683643804920823,0.010289034348176657
"very nice keyboard but only thing lacking is choice of themes.
",1,811,"[0.3206043047211088, 0.3700234518997054]",9,0.0018258012819711428,0.0013427299346989749,0.007614511197404092,0.0003895443818305103,0.0022474331005420158,0.004680941038308285,0.0008609597460103682,0.0006506838086180774,0.000750973769944239,0.9745228026977983,0.005113619042873722
"almost all themes are with closely spaced keys.
",1,812,"[0.210924799318139, 0.24977746716364682]",9,0.0007357730566452426,0.0006553744030514189,0.009175391759402464,0.0001432002772409824,0.0015923464234017517,0.0033154201552572453,0.0004091567006415213,0.0002548033974082737,0.0003369488834733897,0.9825649402891927,0.0008166446542850751
"you guys shud add more themes like sony keyboard style or iphone style or stock android jellybean look
",1,813,"[0.3457536231415769, 0.22500310442257915]",9,0.0009580511382528279,0.0009629579418144745,0.005734492911628459,0.00040005808627815407,0.0030051762309246,0.012721834493481939,0.000943340072105142,0.0008653475707814524,0.0006796902819540685,0.9578959866537193,0.015833064619059683
"My only gripe is that it doesn't have more black themed keyboard for us AMOLED screen users (to save power!).
",1,819,"[0.1726848730515658, 0.2703262179889954]",9,0.005102889213195045,0.004005191333757534,0.07630521295571821,0.0006657784142230092,0.007329071516627752,0.010755627594065419,0.0019476150592489462,0.0010674569051524502,0.001751478291636385,0.8886533533733554,0.0024163253430198994
