Review,Relevant
"so i downloaded it on my at&t lg thrill but it wont let me open it
",1
"it's an addictive game but lags too much even on low graphics.
",1
"taking of power ups is quite difficult.
",1
"while on turn the screen suddenly changes which makes eye uncomfortable so need to be more updated.
",1
"& when i die it freezes please fix besides that i love this game .
",1
"it lags a few times amd when i get in thr cart it wont tilt unless i tilt my phone
",1
"only thing i dont like is the cart.
",1
"only things missing are varied enviroments and maybe a story mode to give it some depth.
",1
"its great unless i have to tilt my phone to get coins.
",1
"it wont move the character.
",1
"great game, needs tilt sensitivity though
",1
"doesnt work on samsung galaxy player
",1
"coins keep resetting so i cant play and accumulate to buy upgrades.
",1
"fun all the time on my i pad but it's not downloading to me cell sad day.
",1
"i hope in the future this game have new map :)
",1
"only probably is when someone calls or texts, it interrupts the game and i usually die.
",1
"it froze up alot and then updated so i would've thought that the problem would have been fixed.
",1
"i have the samsung rugby smart through at&t and this app is not compatible with my phone apparently
",1
"downloads slow tho
",1
"i have 523, 000 coins but the 500, 000 liferime coins objective isnt going away, please fix
",1
"coins lost error :(
",1
"i'm past 500k but it's not giving the goal to me, otherwise i love this game!
",1
"when i play the game, many times it is not responding with my finger movement.
",1
"fix it it lags and the guy jumps on his own
",1
"fun but sometimes when i swipe to turn it does not do it so it annoys me a bit.
",1
"this game take a long time to load
",1
"would be 5 star however tilt action has quite a dramatic lag and can effect your gameplay potential.
",1
"game starts the shuts down on milestone
",1
"but its really hard to buy upgrades and what not.
",1
"the only thing wrong is that the magnet power up and the coin power up do not work.
",1
"great game but when coming out of extreme boost if you are on a zip line you don't slow down you come of it at the same speed as if you were in extreme boost.
",1
"will not open, stays on imangi pic.
",1
"amazing game only thing is on my phone it takes waaaaaaaay too long to load.
",1
"still doesn't work on the original droid.
",1
"stays on the loading screen.
",1
"i have to basically tilt my phone sideways to get the cart to tilt.
",1
"plus some parts of the mineshaft have not response time going around a corner and there is a fork.
",1
"now when i try to slide or jump it will not, and i die.
",1
"ive had to download 3 times because after about a week or so it wont open, force close doesnt work.
",1
"i have obviously read in some rates and when veneer i first open the app, it force closes.
",1
"if you press the home button while playing,or just leave the game itself,when you try to enter the game it won't load and automattically send you back to the home screen,exiting the app.
",1
"the game is amazing yet the objectives of the game is kinda boring.
",1
"it throws me out of the game while it is starting up :(
",1
"would love it if there were different levels & different parts of the temple as you get higher.
",1
"great game but if possible please make it worth by double up the coin collected in game :-)
",1
"i downloaded temple run 2 and tried to play it but it just frose on the title and force its self close
",1
"100k lifetime coins is stuck and the game has been really glitchy
",1
"i bought coins for 4.99 hearsay and i've yet to receive them.
",1
"good game but when i play it for about an hour on my tablet the game gets reset,pls fix it
",1
"nice for htc one v but sometimes it pause for no reason
",1
"add feature of facebook integration.
",1
"my stats show life time total coins over 500,000, however my objective of gold miner is still showing as incomplete.
",1
"it forces close for galaxy s ! please fix !
",1
"i finished the 1000000  lifetime meters but it won't clear in say that i finished so i can move on to the next challenge
",1
"i loved the game until i got to the 500,000 lifetime coin achievement and it wouldn't give me the achievement.
",1
"the power up don't last long
",1
"sometimes after u cross 2500 m its glitchy
",1
"tilting my phone isn't as responsive as the original horrible game stick to temple run 1
",1
"could be better without the lag in between games causeing you to die.
",1
"its okay but on my ipod it lags badly
",1
"theirs a lot of lag for my version of the gs3
",1
"the sensitivity of the swipes is not good.
",1
"there is a bug: once the player dies there is new save/skip option during which if i press a back key the game is stuck with no options.
",1
"best game ever but sometimes freezes
",1
"i had 141 gems and later found that i only have 41 remaining.
",1
"so i lost 100 gems with no reason.
",1
"it slowed down blocking the screen.
",1
"please bring back the last animation.
",1
"so far i think the game is pretty good but when an ability reaches 10000 coins to purchase the next level it just takes my coins, doesn't upgrade ability and comes up with a promt to purchase more coins.
",1
"i was expecting a more difficult mode tough.
",1
"but i suddenly lost all my data, hours of play, and that's unnaceptable.
",1
"sooooooo everything that i unlocked and all my achievements disappeared.
",1
"the game is good but i'm facing a small problem, the coins automatically becomes zero after i collect 1000+ coins.
",1
"love it but for my phone it keeps freezing and unfreezing and it messes up the game.
",1
"temple run two is okay, but it has a lag and its not as enjoyable as the first  one.
",1
"its obviously better than any other games of its kind subway rail rush or d original temple run but my objectives are not working like i got to 5 lakh lifetime coins still the mission is not clearing.
",1
"some issues with tilt response in the minecart,  but no major issues beyond that.
",1
"after installing it wouldn't open so i have yet to play.
",1
"after playing for 2 weeks game deleted my save and had to restart.
",1
"i dunno how come the coins i collect always gone.
",1
"ready laggy and such.
",1
"i ain't able to go to level 9 after achieving the only objective left that is 1 million lifetime coins.
",1
"but i think the icons for boosts should be more detailed.
",1
"please fix the bug with 500k lifetime coins objective.
",1
"why this game were stuck when i lose.
",1
"i wish i could at least try the game since i loved the first one but unfortunately, it always force closes on my samsung infuse.
",1
"it throws me out of the game while it is starting up :(
",1
"but now its automatically going to pause the game.
",1
"i was getting addicted to it then i stopped playing it to let my phone charge then when its all charged i go back to play it again and it won't even start up!
",1
"whenever i get to 3000 coins i have to start from scratch again, so irritating.
",1
"bt the ony thing it lacks is the connection with frnds i.e facebook connect.
",1
"n while pausing the game v are unable to see the missions.
",1
"n while pausing the game v are unable to see the missions .
",1
"i cant properly rate the game cause i am not even able to download it it just keeps saying error
",1
"the draw distance is very short, so things pop into frame frequently.
",1
"i don't see why there isn't an option to increase the draw distance.
",1
"its not run smooth on my phone.
",1
"this is a great app lags a little bit other then that is fine
",1
"it just shows the splash screen, then locks up, then stops working :(
",1
"during game play if we run 50,000+ mtrs and we receives any incoming call the game restarts and we loses all the pts and score !
",1
"not as good  as temple run 1 3d stuff is very stiff please fix this issue otherwise its a nice game
",1
"when i click to play the game it stays on the loading screen where that green thing is showing and then the app closes.
",1
"atleast, it's better than temple run and i wish that it could have more challenges.
",1
"so my girlfriend wanted to play as the last chick so we bought the biggest coin pack over a day ago and never got any china, uninstalling, any game that rips you off.
",1
"i wish it had more challenges.
",1
"cant play after first trail
",1
"it's definitely a step up from the first one i wish there were more characters though but good game
",1
"there is a glitch in the opening imangi studios screen.
",1
"it'll play noise like its going to play but then force closes.
",1
"i downloaded this 3times and it still won't work help!
",1
"whenever i try to open the game it says imangi studios and then it shuts down.
",1
"i got lot of coins after i play then it were all gone.
",1
"level 9  is so challengeing theres a bug on collect 500 k  coins  plz fix
",1
"i can't change to slide while jumping .
",1
"i frequently accidentally upgrade the abilities while i am scrolling upgrade page up or down.
",1
"one of the best game i have ever played bt 1 issue, once u die u have 2 restart d game 4rm d begining, which is vry annoying, plz gv at least default 2 live saving chances so that the game can be continued 4rm the same level.
",1
"do you know this is the best game of my life and is more challenging but i notice the memory of this game is bigger than subway surfers but this game is cool!
",1
"i loved this game but ever since the last update it crashes a lot n it sucks!
",1
"i can't download tr2 due to an error 498.
",1
"for some reason when i try to use the save me after i die it freezes closes then when i go back into it it says negative 1 gem possible idk
",1
"the thing i didn't like about this was that each tiime i went back on it it had started again as if i was a beginner so that's why i rate it four stars
",1
"lovely, but wld hv prefered if it had stages.
",1
"please fix the lag issue caused by the recent update (the one everyone is complaining about).
",1
"show stats (points, distance run, coins, # of gems) on ""save me""
",1
"not downloading this awesome game is not downloading on my samsung galaxy tab it keeps displaying the error 498.
",1
"everytime i open the app it goes to the imangi studios thing ""the first screen"" then closes the app completely.
",1
"lags too much, should not be lagging on a dual core phone
",1
"once i heard the new temple run,x i got so exciting and i'm using my htc and when i bought the app, after that it started to freezr, can u fix this problem for me
",1
"it does not work, well the game is running, but i cant swipe to make the player jump.
",1
"character jumps sideways eventually falling down.
",1
"sometimes it somehow jumps and misses the solid ground lol
",1
"i love this game but it lags so much.
",1
"the way view slided below in tr1 seems better than the view from top in tr2 while sliding.
",1
"my view gets blocked for  a short while in tr2 while sliding.
",1
"i bought 50k coins for 4.99 50,000 coin pack (temple run 2)us$4.99  i got a confirmation of thank you for my prchase but there areno coins showing on the applications.that's just not right.when do i expect to have my coins?!
",1
"i've gotten over 15,000 coins but i haven't spent them and according to the game i only have 528.
",1
"i am two objectives away from finally getting lv9, however, the game has decided to stop counting score.
",1
"the 500k lifetime coins goal is complete but the status bar is stuck halfway.
",1
"the 1mil lifetime coins is also more than halfway done but still, its stuck at 3rd of the way  :(
",1
"it is hangs slowly between the game in sony xperia tipo
",1
"it pops up likes it gonna work then goes bak to my home screen plz fix temple run was my fav game n i got it beat so id love to start playin temple run 2
",1
"experienced some issues regarding finishing the objectives especially the one requiring to get 500,000 coins.
",1
"i already have 600,000+ lifetime coins but still the objective is not yer cleared or finished.
",1
"it doesn't want to open it keeps closing right after.
",1
"would be brilliant if i could get it past the start-up screen.
",1
"also a bug in 500k coin objective does not go even after collecting.
",1
"lags on my samsung galaxy s3
",1
"achievement says 500,000 lifetime coins and i am almost at 600,000 yet the achievement says i'm halfway through my objective!
",1
"not a very great game as sensitivity is very poor
",1
"will not give 500000 coin achievement, it's stuck on the meter, and i have over 500000, but 1000000 is still going up.
",1
"this game is boring because it is to sensitive and its easy to die.
",1
"my coins keep disappearing smh about to uninstall
",1
"u can make more better to this game by adding some extra graphical views
",1
"in this game there should be some free coins
",1
"the objective gold miner stuck in the middle but i already reach 500k coins.
",1
"i have more than 500 thousand life time coins but the objective is still incomplete.
",1
"but it sometimes stop in micromax smarty a25 and give challenging temple run in 3
",1
"sadly, the game crashes instantly on my phone.
",1
"needs a minor update because it lags a little in low budget phones
",1
"it's a ridiculous objective and the lack of other achievable objectives now leaves temple run 2 fully depriciated for me.
",1
"add more skill bases objectives developers.
",1
"can u add new feature for submit score on internet for world wide users.
",1
"but when last played it the game kept reseting.
",1
"if you have earned your magnet powerup and use it, but then collect a spawned magnet powerup it will not restart the count on the powerup.
",1
"the last update might have introduced a startup bug.
",1
"right now on my nexus s, after the imangi  logo screen the app closes.
",1
"they should add new worlds that could be unlocked in every new level.
",1
"it's abit laggy for temple run,  fix it please
",1
"it throws me out of the game while it is starting up :(
",1
"this app will never open it sucks and no android that i hear of temple run 2 doesn't work so fix this app!
",1
"still not able to restore coin doubler on fresh install.
",1
"i'm already at lvl8, unlocked all characters but still unable to unlock the coin magnet powerup.
",1
"althought the difficulty level could have been a little bit better
",1
"coins are getting reduced automatically .
",1
"the battery stats show 90% usage just from this app.
",1
"laggiest piece of crap game i have ever played.
",1
"it doesn't slide it jumps.
",1
"game won't even load now
",1
"great game but sensitivity could have been better
",1
"a bit difficult and have not enough special power to run
",1
"good game, but can lag slightly.
",1
"also doesn't let you use power ups in succession.
",1
"not launching in my lg optimus black.
",1
"imangi logo comes up & app closes after some time.
",1
"i downloaded it and it worked for about a week or so, but then all of the sudden i would try to open it and it would crash.
",1
"i never played it, it always freezes on the opening credits!
",1
"doesn't load on my samsung infuse.
",1
"splash page shows up then it crashes.
",1
"game is very good but 500000 coin objective got stuck in between plz solve this problem in upcoming update
",1
"but objectives are too ridiculous like '1000000 lifetime metres' and game bre comes boring, i like having achieve able objectives!
",1
"sometimes the game stop for a moment and these moment i loss :(
",1
"i just finished my objective for 500,000 lifetime coins but it won't go through plz fix
",1
"please fix the 500k coins objective bug.
",1
"some times it freezes randomly though.
",1
"gem purchase doesnt work at all.
",1
"i have collected more than 500k coins but i can't complete that objective.
",1
"i have a samsung infuse and it jus stays on the first screen and then jus closes it self.
",1
"loved the game until it wouldn't let me open it.
",1
"it keeps freezing whenever i try to change settings and whenever i try to quit the game and go to the menu.
",1
"nest game ever but ir a bit hard to see when you have to turn corners
",1
"it force closes at the beginning never got a chance to play
",1
"i have 500,000 coins but my objectives have not yet checked off!
",1
"have downloaded twice, but it wont open.  : (
",1
"i installed this game and it won't open, it just closes down and back to my home page.
",1
"every time i try to play it just stays on the intro screen plz fix this.
",1
"i bought 150000 coins 3 days ago and haven't received them yet !
",1
"it will be even better if there are more science and types of traps!!!!
",1
"not working on samsung galaxy s 5.0, & i'm not the only one complaining about this.
",1
"stops working at loading screen.
",1
"it sometimes freezes and after it freezes i die because i dont know when it will unfreeze.
",1
"when i open the  app all  it does is show me the company who made it then take me back to my home-screen.
",1
"whenever i get more than 1500 coins in my ""bank"" it'll delete them all so means i can't buy anything!
",1
"i keep on getting glitches and force close signs.
",1
"it takes ages to download aswell.
",1
"itdoesnt deserve 5 stars because it lags and sometimes it wont even let you interact with the game.
",1
"my character is always stuck on the right side of the screen..
",1
"the only problems i'm having is when i'm playing it glitches and i'm stuck on level 8 because i have already gotten over 500,000 coins and it won't check it off...or shows i'm only half way there, which i assume i have to get a million coins which is another level up i have to do...
",1
"one down side is the sensitivity is kind of low, so it doesn't always register my moves.
",1
"its a fun game but later objectives take too long to complete and the game gets boring
",1
"whenever i open the app it closes.
",1
"lags alot on my motorola droid2
",1
"the screen will come on, and makes these noises like its about to start and then force closes!
",1
"but it doesn't open it focres close
",1
"its stuck on the loading screen and after a minute it will automaticsaly close.
",1
"i don't like the revive system :(
",1
"the file refuses 2 download 2 my tab.
",1
"doesn't work on the sidekick 4g, please fix!
",1
"wonder who thought doing a 27, 36 or 86 coin start in the 1st 250 meters was a good idea?
",1
"the game is great but its always lagging on my droid 3.......
",1
"couldn't download on android 2.2  acer stream.
",1
"i've played before on another phone but i can not download it on my phone
",1
"the tilt feature is bad, especially in the narrow lanes...
",1
"if u trip over then the big monkey covers almost 1/4th of the screen...
",1
"if u use a power up, n then u get the same before the first one is used up.
",1
"it just keep on loading and then, it closes automatically.
",1
"if you're using an ability such as the coin magnet, and you run across another and pick it up before time runs out, the first game would renew the time remaining on the ability, but this game doesn't. it's worthless, and tends to punish you for getting upgrades that make your abilities last just long enough that it hadn't run out before you get to the next one.
",1
"coin magnet no longer gives you a con multiplier.
",1
"though i have completed the objective of five lakh life time coins but it is not showing in   the completed objective
",1
"i have upgraded head start for 1000 found less, but it is still asking 2000 coins for head start instead of 1500 coins
",1
"awsm game but it takes too long to reach the destination!!!
",1
"i completed gold miner but the meter is stuck at full and i am not leveling up.
",1
"i have more than 500000 coins, but the objective gold miner is stilled locked.
",1
"lags sometimes, and won't let me go back when im in the settings menu.
",1
"keeps on lagging everytime i run this app even if there is no other app running.
",1
"when i run the game and wait,it always turn back to my home page.....
",1
"its good cozz its diffrentstuff but it frezzis i'll give it a 4 star
",1
"won't load past the first screen before self force closing.
",1
"500k objective its stuck at halfway bar.
",1
"power ups don't stack.
",1
"lots of lag gets you killed constantly, even on lowest graphic setting.
",1
"the only problem i have is the game progress is lost if we attend any call while playing.
",1
"this game doesn't work on lg 3d optimus i don't know why....
",1
"the only thing wrong with it is that it keeps freezing but only on the odd ocation
",1
"lagging after update  once i play 3-4 games it starts to lag
",1
"this game isn't starting please fix it :)
",1
"i hope ut does erase my entire stats with updates as it did last time....
",1
"its all well and fine till level 8, but the 500,000 coins objective is not being updated.....
",1
"great game but can't install on desire.
",1
"sumtimes images takes time 2 load while runing n d game dies there!!
",1
"haven't had a chance to play as app crashes upon startup.
",1
"can't play the ,when started it show the logo and take me to the homescreen
",1
"i played this a couple of times and it was awsome but, on the sixth time i played this it turned onto the menu -___-
",1
"i installed and un-installed and reinstalled this game 4 times and just crashes on the loading screen of temple run.
",1
"it vibrates twice then crashes/closes.
",1
"i have 500000 coins bt midas touch objective shows only 20% complete.
",1
"i like it, it just needs a place to jump off a edge to go on to a new trail.
",1
"since i updated, the game has become very lag and some time it even force close.
",1
"i got a glitches that made score 225,639,853 no lie
",1
"its a great game but i find the tilt and screen controls not responsive enough to survive.
",1
"ok so this is wat happened i start to play nd then it froze and it kept doing it so someone needs to fix this!!!!
",1
"the only problem is it wont stop askin me to rate it so here u go now leave me alone
",1
"game is good butt objectives are way to tough almost impossible to reach level 9 it's should b in achievements rather than in objectives bad..
",1
"i am much above 500,000 coins, but the ""gold miner"" objective is not getting completed.
",1
"even 1,000,000 coins objective is stuck and not progressing
",1
"but i don't like that it keeps stopping
",1
"runs great on my s3 but sometime turns are un responsive
",1
"love this game but when the boost runs out on the zip line i still run really fast with no protection.
",1
"but today i started the app and the game was reset and i lost all my progress;i was on level 8 ,had a high score of 5,000,000+,multiplier 51 and i have lost it all.
",1
"i was so excited to download this game since the original was so good i thought this one would be better but it wont even open
",1
"midas touch and the other latest objectives are ridiculous.
",1
"just admit we beat the game or create new content instead of setting some inhuman goals.
",1
"freezes on my phone everytime i try to play it.
",1
"great graphics and all but somehow the number of coins i connect keep getting reset to 1500 or less asseta point so i cannot buy or upgrade my characters.
",1
"its really fun but kills my battery.
",1
"but one thing i would really like to have in the next update are extra characters and pick up power ups stack on each other. :)
",1
"keeps with the style of the original with a new setting (china?).
",1
"although i do seem to have encountered an error trying to level up from lvl 8 (which is too hard btw!) it says to run a million points without power-ups.
",1
"i've done this several times now but the achievement stays locked, while it did work for a friend who has the exact same phone as me..
",1
"sometimes it comes on and works great but other wise it wont start
",1
"the game just freezes to a black screen.
",1
"only thing that sucks is that you have to go back to the beginning as opposed to starting where you left off.
",1
"it was fine until it updated a few days ago after that it erased all my saved game and had to completely restart and it freezes up on me
",1
"a little of hang time in some transition.
",1
"game is very fun and addictive but is extremely laggy on my samsung stratosphere.
",1
"takes a minute plus to load and in-game lag causes me to lose before i can get very far.
",1
"better than the first buy it sometimes gets confusing with this level design.
",1
"on the last two obstacles and the total number of collected is frozen
",1
"it always exits ive had it for a while and every time it exits before i can even play so im warning
",1
"i played temple run 2 on one of my friends ipad and i loved it and when i download it it wont let me play it just goes to tue little s looking thing then it vibrayes my phone and then takes me back to my home screen i have uninstalled it amd redone it and everything it wont work and i really wanna play :(
",1
"iv played this on other devices but i dont understand why it doesnt work on my phone it stays on the loading screen and after awhile it takes me out of the app please help and yes its compatible on my phone
",1
"never get bored, love it wish you could create your own characters.
",1
"keep crushing on htc desire :(
",1
"i downloaded the game and have never been able to get it to successfuly upload.
",1
"cant get it downloded in my htc
",1
"i'll give it 5 stars if it would work for my lg thrill i never get past the picture before the start menu.
",1
"this game was pretty fun at the beginning but after 15 minutes of playing it got really boring plus way to many ads.
",1
"i have obviously read in some rates and whenever i first open the app, it force closes.
",1
"i just bought 50,000 coins this weekend and they aren't on my game wtf come on man fix this
",1
"only suggestion: make it so that if you get a second power up while you are already using one,  it is not ignored.
",1
"game hangs if i press physical back button when re-incarnate with a gem option comes.
",1
"one of the objectives of lifetime 500,000 coins is stuck even though i have more than 600k. this happened after the same objective came twice.
",1
"it's fun but it always exits for no reason.
",1
"the double tap to use the power up when the bar gets full only works 1 out of 5 times  on the nexus 10 but on the siii the double tap to engage power up works perfectly fine, i don't understand.
",1
"im a level 8 n the app wont open please fix with the next update i love this game but can't  it
",1
"the lag associated with the initial start of the game is annoying, but otherwise a great game all around.
",1
"the only downside is that it is very repetitive  and the powerups are very dull,so at times the game os not fun.
",1
"objectives not being updated accordingly
",1
"i love the graphics on this game but for some reason it doesn't keep count of how many coins i get/have it always says a lower number than what i started the run with dk if anybody else has this problem actually thinking bout deleting it becuz its irreating me too much not being able to get my upgrades
",1
"it's annoying when it is down to the luck of level generation whether or not i get a good score.
",1
"the game is great but its always lagging on my droid 3.......
",1
"now the problem is i can play the game once after that everytime i try to open the game it backs out 2 my home page.....
",1
"in order for me to get to level 9 i had to beat an objective but i beat it and it wouldn't say i beat it
",1
"the game will not let me play it on my galaxy s why it do that please fix it
",1
"yea wellllll it's kinda slow.
",1
"my only issue is that the 500,000 and 1,000,000 coin achievements are still bugged so i can't reach lvl 9!
",1
"the game is good but my coins keep getting deleted!!!!!!!!
",1
